publish_date,scraped_date,title,text,Companies,Country,link,Comments,update
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,Shareholder Alert Pomerantz Law Firm Investigates Claims On Behalf Of Investors Missfresh Limited Mf,"New York, July 17, 2022 Globe Newswire Pomerantz Llp Is Investigating Claims On Behalf Of Investors Of Missfresh Limited Missfresh Or The Company Nasdaq Mf Such Investors Are Advised To Contact Robert S Willoughby At Newaction Pomlaw Com Or 888 476 6529, Ext 7980 The Investigation Concerns Whether Missfresh And Certain Of Its Officers And Or Directors Have Engaged In Securities Fraud Or Other Unlawful Business Practices Click Here For Information About Joining The Class Action On Or Around June 25, 2021, Missfresh Conducted Its Initial Public Offering Ipo , Selling Approximately 21 Million American Depositary Shares Adss Priced At 13 00 Per Share On April 29, 2022, Missfresh Filed With The U S Securities And Exchange Commission A Notification Of Late Filing On Form 12B 25 Which Announced That Missfresh Would Not Be Able To Timely File Its Annual Report On Form 20 F For 2021, Due To An Ongoing Internal Review Of Certain Matters, Including Those Relating To Transactions Between The Company And Certain Third Party Enterprises On This News, Missfresh S Adss Fell 0 068 Per Ads, Or 13 2%, To Close At 0 448 Per Ads Then, On May 24, 2022, Missfresh Disclosed That The Company Was Unable To File Its 2021 Annual Report By The Extended Deadline, Primarily Because The Company Is Unable To Complete The Audit Of The Financial Statements Of The Company For The Fiscal Year Ended December 31, 2021 On This News, Missfresh S Adss Fell 0 018 Per Share, Or 9 7%, Over The Following Two Trading Days, To Close At 0 167 Per Ads On May 26, 2022 Finally, On July 1, 2022, Missfresh Issued A Press Release Entitled Missfresh Announces The Substantial Completion Of The Audit Committee Led Independent Internal Review Which Disclosed, Among Other Things, That The Company S Review Identified Certain Transactions That Exhibit Characteristics Of Questionable Transactions, Such As Undisclosed Relationships Between Suppliers And Customers, Different Customers Or Suppliers Sharing The Same Contact Information, And Or Lack Of Supporting Logistics Information And That Consequently, Certain Revenue Associated With Those Reporting Periods In 2021 May Have Been Inaccurately Recorded In The Company S Financial Statements The Pomerantz Firm, With Offices In New York, Chicago, Los Angeles, And Paris Is Acknowledged As One Of The Premier Firms In The Areas Of Corporate, Securities, And Antitrust Class Litigation Founded By The Late Abraham L Pomerantz, Known As The Dean Of The Class Action Bar, The Pomerantz Firm Pioneered The Field Of Securities Class Actions Today, More Than 80 Years Later, The Pomerantz Firm Continues In The Tradition He Established, Fighting For The Rights Of The Victims Of Securities Fraud, Breaches Of Fiduciary Duty, And Corporate Misconduct The Firm Has Recovered Numerous Multimillion Dollar Damages Awards On Behalf Of Class Members See Www Pomerantzlaw Com Contact Robert S Willoughbypomerantz Llprswilloughby Pomlaw Com888 476 6529 Ext 7980 ", Willough , ,https://www.globenewswire.com/news-release/2022/07/17/2480738/1087/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-Missfresh-Limited-MF.html, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,Pomerantz Law Firm Announces The Filing Of A Class Action Against Molecular Partners Ag And Certain Officers And Directors Moln,"New York, July 17, 2022 Globe Newswire Pomerantz Llp Announces That A Class Action Lawsuit Has Been Filed Against Molecular Partners Ag Molecular Partners Or The Company Nasdaq Moln And Certain Of Its Officers And Directors The Class Action, Filed In The United States District Court For The Southern District Of New York, And Docketed Under 22 Cv 05925, Is On Behalf Of A Class Consisting Of All Persons And Entities Other Than Defendants That Purchased Or Otherwise Acquired A Molecular Partners American Depositary Shares Adss Pursuant And Or Traceable To The Offering Documents Defined Below Issued In Connection With The Company S Initial Public Offering Conducted On Or About June 16, 2021 The Ipo And Or B Molecular Partners Securities Between June 16, 2021 And April 26, 2022, Both Dates Inclusive The Class Period Plaintiff Pursues Claims Against The Defendants Under The Securities Act Of 1933 The Securities Act And The Securities Exchange Act Of 1934 The Exchange Act If You Are A Shareholder Who Purchased Or Otherwise Acquired Molecular Partners Adss Pursuant And Or Traceable To The Offering Documents Defined Below Issued In Connection With The Company S Ipo, And Or Molecular Partners Securities During The Class Period, You Have Until September 12, 2022 To Ask The Court To Appoint You As Lead Plaintiff For The Class A Copy Of The Complaint Can Be Obtained At Www Pomerantzlaw Com To Discuss This Action, Contact Robert S Willoughby At Newaction Pomlaw Com Or 888 476 6529 Or 888 4 Pomlaw , Toll Free, Ext 7980 Those Who Inquire By E Mail Are Encouraged To Include Their Mailing Address, Telephone Number, And The Number Of Shares Purchased Click Here For Information About Joining The Class Action Molecular Partners Operates As A Clinical Stage Biopharmaceutical Company That Focuses On The Discovery, Development, And Commercialization Of Therapeutic Proteins Leading Up To And Following The Ipo, The Company Repeatedly Touted The Clinical And Commercial Prospects Of Certain Of Its Product Candidates Under Development In Collaboration With Other Companies Among Other Product Candidates, Molecular Partners Is Developing Ensovibep As A Treatment For Covid 19 In Collaboration With Novartis Ag Novartis One Of The Company S Most Important Development Strategies For Ensovibep Includes Securing Emergency Use Authorization Eua For Ensovibep From The U S Food And Drug Administration Fda In Addition, Molecular Partners Is Developing Mp0310 Amg 506 For The Treatment Of Certain Types Of Cancer In Collaboration With Amgen Inc Amgen The Company Granted Amgen, Among Other Licenses, The Right To Progress Mp0310 S Development Program Into Later Stage Development, Including Into Combination Trials, Following Phase 1 Data On April 22, 2021, Molecular Partners Filed A Registration Statement On Form F 1 With The U S Securities And Exchange Commission Sec In Connection With The Ipo, Which, After Several Amendments, Was Declared Effective By The Sec On June 15, 2021 The Registration Statement On June 16, 2021, Molecular Partners Filed A Prospectus On Form 424B4 With The Sec In Connection With The Ipo, Which Incorporated And Formed Part Of The Registration Statement Collectively, The Offering Documents Pursuant To The Offering Documents, Molecular Partners Conducted The Ipo, Issuing 3 Million Of Its Adss To The Public At The Ipo Price 21 25 Per Ads, For Proceeds To The Company Of Over 59 Million, After Underwriting Discounts And Commissions, And Before Expenses The Complaint Alleges That The Offering Documents Were Negligently Prepared And, As A Result, Contained Untrue Statements Of Material Fact Or Omitted To State Other Facts Necessary To Make The Statements Made Not Misleading And Were Not Prepared In Accordance With The Rules And Regulations Governing Their Preparation Additionally, The Complaint Alleges That, Throughout The Class Period, Defendants Made Materially False And Misleading Statements Regarding The Company S Business, Operations, And Prospects Specifically, The Offering Documents And Defendants Made False And Or Misleading Statements And Or Failed To Disclose That I Ensovibep Was Less Effective At Treating Covid 19 Than Defendants Had Led Investors To Believe Ii Accordingly, The Fda Was Reasonably Likely To Require An Additional Phase 3 Study Of Ensovibep Before Granting The Drug Eua Iii Waning Global Rates Of Covid 19 Significantly Reduced The Company S Chances Of Securing Eua For Ensovibep Iv As A Product Candidate, Mp0310 Was Less Attractive To Amgen Than Defendants Had Led Investors To Believe V Accordingly, There Was A Significant Likelihood That Amgen Would Return Global Rights Of Mp0310 To Molecular Partners Vi As A Result Of All The Foregoing, The Clinical And Commercial Prospects Of Ensovibep And Mp0310 Were Overstated And Vii As A Result, The Offering Documents And Defendants Public Statements Throughout The Class Period Were Materially False And Or Misleading And Failed To State Information Required To Be Stated Therein On November 16, 2021, Molecular Partners Disclosed That A Planned Futility Analysis Of Ensovibep In An Ongoing Phase 3 Clinical Study Has Not Met The Thresholds Required To Continue Enrollment Of Adults With Covid 19 In The Hospitalized Setting On This News, Molecular Partners Ads Price Fell 4 64 Per Ads, Or 31 37%, To Close At 10 15 Per Ads On November 16, 2021 On April 26, 2022, Months After Applying For Eua From The Fda For Ensovibep, Novartis Chief Executive Officer, Vas Narasimhan, Disclosed That Given The Latest Feedback In Our Discussions With The Fda , We Would Expect The Agency To Require A Phase 3 Study Before Granting An Eua Approval Or A General Approval For Ensovibep, And That We Need To Make A Kind Of Sober Evaluation As To Is It A Doable Study In Light Of The Waning Rates Of Covid Around The World On This News, Molecular Partners Ads Price Fell 2 68 Per Ads, Or 16 17%, To Close At 13 89 Per Ads On April 26, 2022 Then, Also On April 26, 2022, During After Market Hours, Molecular Partners Announced That Amgen Has Informed The Company Of Their Decision To Return Global Rights Of Mp0310 To Molecular Partners Following A Strategic Pipeline Review On This News, Molecular Partners Ads Price Fell 5 19 Per Ads, Or 37 37%, To Close At 8 70 Per Ads On April 27, 2022 A Total Decline Of 7 87 Per Ads, Or 47 5%, Over Two Consecutive Trading Days, And 59 06% Below The 21 25 Per Ads Ipo Price As Of The Time The Complaint Was Filed, The Price Of Molecular Partners Adss Continued To Trade Below The 21 25 Per Ads Ipo Price, Damaging Investors Pomerantz Llp, With Offices In New York, Chicago, Los Angeles, Paris, And Tel Aviv, Is Acknowledged As One Of The Premier Firms In The Areas Of Corporate, Securities, And Antitrust Class Litigation Founded By The Late Abraham L Pomerantz, Known As The Dean Of The Class Action Bar, Pomerantz Pioneered The Field Of Securities Class Actions Today, More Than 85 Years Later, Pomerantz Continues In The Tradition He Established, Fighting For The Rights Of The Victims Of Securities Fraud, Breaches Of Fiduciary Duty, And Corporate Misconduct The Firm Has Recovered Numerous Multimillion Dollar Damages Awards On Behalf Of Class Members See Www Pomlaw Com Contact Robert S Willoughbypomerantz Llprswilloughby Pomlaw Com888 476 6529 Ext 7980 ", Amgen , ,https://www.globenewswire.com/news-release/2022/07/17/2480725/1087/en/Pomerantz-Law-Firm-Announces-the-Filing-of-a-Class-Action-Against-Molecular-Partners-AG-and-Certain-Officers-and-Directors-MOLN.html, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,"Mf Investor Alert Rosen, A Leading Law Firm, Encourages Missfresh Limited Investors With Losses To Secure Counsel Before Important Deadline In Securities Class Action Commenced By The Firm Mf","New York, July 17, 2022 Globe Newswire Why Rosen Law Firm, A Global Investor Rights Law Firm, Announces It Has Filed A Class Action Lawsuit On Behalf Of Purchasers Of The Securities Of Missfresh Limited Nasdaq Mf Pursuant And Or Traceable To The Registration Statement And Prospectus Collectively, The Registration Statement Issued In Connection With The Company S June 2021 Initial Public Offering Ipo Or The Offering A Class Action Lawsuit Has Already Been Filed If You Wish To Serve As Lead Plaintiff, You Must Move The Court No Later Than September 12, 2022 So What If You Purchased Missfresh Securities During The Class Period You May Be Entitled To Compensation Without Payment Of Any Out Of Pocket Fees Or Costs Through A Contingency Fee Arrangement What To Do Next To Join The Missfresh Class Action, Go To Https Rosenlegal Com Submit Form Case Id 7370 Or Call Phillip Kim, Esq Toll Free At 866 767 3653 Or Email Pkim Rosenlegal Com Or Cases Rosenlegal Com For Information On The Class Action A Class Action Lawsuit Has Already Been Filed If You Wish To Serve As Lead Plaintiff, You Must Move The Court No Later Than September 12, 2022 A Lead Plaintiff Is A Representative Party Acting On Behalf Of Other Class Members In Directing The Litigation Why Rosen Law We Encourage Investors To Select Qualified Counsel With A Track Record Of Success In Leadership Roles Often, Firms Issuing Notices Do Not Have Comparable Experience, Resources Or Any Meaningful Peer Recognition Be Wise In Selecting Counsel The Rosen Law Firm Represents Investors Throughout The Globe, Concentrating Its Practice In Securities Class Actions And Shareholder Derivative Litigation Rosen Law Firm Has Achieved The Largest Ever Securities Class Action Settlement Against A Chinese Company Rosen Law Firm Was Ranked No 1 By Iss Securities Class Action Services For Number Of Securities Class Action Settlements In 2017 The Firm Has Been Ranked In The Top 4 Each Year Since 2013 And Has Recovered Hundreds Of Millions Of Dollars For Investors In 2019 Alone The Firm Secured Over 438 Million For Investors In 2020, Founding Partner Laurence Rosen Was Named By Law360 As A Titan Of Plaintiffs Bar Many Of The Firm S Attorneys Have Been Recognized By Lawdragon And Super Lawyers Details Of The Case According To The Lawsuit, The Ipo Registration Statement Featured False And Or Misleading Statements And Or Failed To Disclose That 1 Missfresh Provided False Financial Figures In Its Registration Statement 2 Missfresh Would Need To Amend Its Financial Figures 3 Missfresh, Among Other Things, Had Lesser Net Revenues For The Quarter Ended March 31, 2021 And 4 As A Result, Defendants Public Statements Were Materially False And Misleading At All Relevant Times And Negligently Prepared When The True Details Entered The Market, The Lawsuit Claims That Investors Suffered Damages To Join The Missfresh Class Action, Go To Https Rosenlegal Com Submit Form Case Id 7370 Or Call Phillip Kim, Esq Toll Free At 866 767 3653 Or Email Pkim Rosenlegal Com Or Cases Rosenlegal Com For Information On The Class Action No Class Has Been Certified Until A Class Is Certified, You Are Not Represented By Counsel Unless You Retain One You May Select Counsel Of Your Choice You May Also Remain An Absent Class Member And Do Nothing At This Point An Investor S Ability To Share In Any Potential Future Recovery Is Not Dependent Upon Serving As Lead Plaintiff Follow Us For Updates On Linkedin Https Www Linkedin Com Company The Rosen Law Firm, On Twitter Https Twitter Com Rosen Firm Or On Facebook Https Www Facebook Com Rosenlawfirm Attorney Advertising Prior Results Do Not Guarantee A Similar Outcome Contact Information Laurence Rosen, Esq Phillip Kim, Esq The Rosen Law Firm, P A 275 Madison Avenue, 40Th Floor New York, Ny 10016 Tel 212 686 1060 Toll Free 866 767 3653 Fax 212 202 3827 Lrosen Rosenlegal Com Pkim Rosenlegal Com Cases Rosenlegal Com Www Rosenlegal Com ", Phillip Kim , ,https://www.globenewswire.com/news-release/2022/07/17/2480712/673/en/MF-INVESTOR-ALERT-ROSEN-A-LEADING-LAW-FIRM-Encourages-Missfresh-Limited-Investors-with-Losses-to-Secure-Counsel-Before-Important-Deadline-in-Securities-Class-Action-Commenced-by-th.html, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,Fashion S Ipo Roadshow Grinds To A Halt, Public The Actual Number Of Ipos Has Slowed To A Trickle Or Beauty Brand Planning An Ipo Many Did Go Public Last The Last Wave Of Fashion Ipos Where Does That Leave All , , ,https://www.businessoffashion.com/briefings/finance/fashions-ipo-roadshow-grinds-to-a-halt/, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,China Greenlights 4 Sci Tech Innovation Ipo Applications, Securities Regulator Has Approved The Initial Public Offering Ipo Applications Of Four Companies On , , ,https://www.macaubusiness.com/china-greenlights-4-sci-tech-innovation-ipo-applications/, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,"Will Think On Ipos Of Hdfc Sec, Hdb Fin Services After Merger With Hdfc Hdfc Md", Director Sashidhar Jagdishan Said The Initial Public Offering Ipo Plans For Hdfc Securities And Months To End The Ipo Plans Of Hdfc Securities And , , ,https://www.businesstoday.in/latest/corporate/story/will-think-on-ipos-of-hdfc-sec-hdb-fin-services-after-merger-with-hdfc-hdfc-md-341740-2022-07-17, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,"Ipo Check India Now This Company Is Bringing Its Ipo, Know What Is The Name"," Also Preparing To Bring An Initial Public Offering Ipo This Year Will Be Those Who Earn Money From Ipo Slowly Many Companies Are Bringing Their Ipo Sula Vineyards Is The Preparing To Raise Funds Through Ipo For This, The Market ", Empty , ,https://hindustannewshub.com/tech-news/ipo-check-india-now-this-company-is-bringing-its-ipo-know-what-is-the-name/, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,"Mf Class Action Alert Kessler Topaz Meltzer Check, Llp Reminds Missfresh Limited Shareholders Of Securities Fraud Class Action Lawsuit"," Missfresh S June 2021 Ipo Through July 12, 2022 Contact June 2021, Missfresh Conducted Its Initial Public Offering Ipo , Selling 21 Million American Depository , Well Below Missfresh S Ipo Price Of 13 00 Per ", Kessler Topaz , ,https://www.wfmz.com/news/pr_newswire/pr_newswire_pennsylvania/mf-class-action-alert-kessler-topaz-meltzer-check-llp-reminds-missfresh-limited-shareholders-of-securities/article_07136282-b66e-5172-84d3-dcb6624ef085.html, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,Sharjah Rakes In 517M In Real Estate Sale Transactions," , Is Open To A Possible Initial Public Offering As It Plans To Invest Exact Time Frame Of The Ipo Speaking Following The Launch Of ", Sharjah , ,https://www.arabnews.com/node/2123891/business-economy, , 
17/Jul/2022 00:00:00,18/Jul/2022 12:11:17,Sebi Approves Ashish Kumar Chauhan S Appointment As Next Md Ceo Of Nse, Were Invited From Candidates Having Initial Public Offering Ipo Experience Tags Assigned To This , Sebi Approves Ashish Kumar , ,https://www.businessworld.in/article/SEBI-Approves-Ashish-Kumar-Chauhan-s-Appointment-As-Next-MD-CEO-Of-NSE/17-07-2022-437427/, , 
