title,link,publish_date,scraped_date,text
Dominican stock exchange hails milestone US$160M IPO,https://dominicantoday.com/dr/economy/2019/04/11/dominican-stock-exchange-hails-milestone-us160m-ipo/,"April 11, 2019 ",2022-10-13 03:45:18.562062,"Santo Domingo.- Dominican Republic’s Bolsa de Valores (BVRD, stock exchange) on Wed. praised the approval of the Initial Public Offering (IPO) of fiduciary securities of the dairy company Pasteurizadora Rica, and invites the business sector to see in this process an example of success, in how the market of capital is an important vehicle to obtain resources.
The instrument
The “Public Share Securities Trust 03 – FU” lets investors indirectly invest in Pasteurizadora Rica shares, “which is a successful step towards the democratization of investment opportunities in the local stock market.”
“For our market, this news is very positive, and we label it as a historical event, not only because of the novelty of the instrument, but because of the relevance of the institution that supports it and because of the volume (RD$8.0 billion (US$160 million),” said BVRD executive vice president Elianne Vílchez, quoted by Hoy."
Gov. announces Dominican Republic’s first IPO,https://dominicantoday.com/dr/economy/2022/04/07/gov-announces-dominican-republics-first-ipo/,"April 7, 2022 ",2022-10-13 03:45:19.150068,"Santo Domingo.- The Superintendence of the Securities Market (SIMV) approved the first program of issuances of ordinary or common shares (IPO) of the capital market industry in the Dominican Republic.
César Iglesias will be the company that will issue the shares on the Dominican stock market.
The issue was structured by BHD León Puesto de Bolsa and will be placed in collaboration with Inversiones Popular-Puesto de Bolsa.
In this sense, the Minister of the Presidency, Lisandro Macarrulla, pointed out that this is a milestone and a true democratization of the capital market.
“We are talking about the first public offering of shares in the stock market of the Dominican Republic,” he said.
César Iglesias, S.A. is a Dominican company with 111 years in the market, dedicated to the manufacture and marketing of mass consumption products in the areas of cleaning, personal care, and food."
Dominican investors snap up milestone equity IPO,https://dominicantoday.com/dr/economy/2019/10/18/dominican-investors-snap-up-milestone-equity-ipo/,"October 18, 2019 ",2022-10-13 03:45:21.325380,"Santo Domingo.- Dominican investors responded positively to the first public offering of equity in Dominican Republic’s securities market where they acquired the total of the shares offered in the first tranche of the issuance by Grupo Rica.
“A week before the end of the term granted, 38.6 million shares were placed at RD$100 each in the primary market, in a relatively short time,” Diario Libre reports.
The offer went on the market on September 27 to be placed until October 17 and by the 14th of this month they had sold out, “so all the people who wanted to be Grupo Rica stakeholders after this date stayed to do so in the secondary market, which starts today.”"
Dominican Republic’s Stock Market grows but needs a ‘push’ toward IPOs,https://dominicantoday.com/dr/economy/2019/06/18/dominican-republics-stock-market-grows-but-needs-a-push-toward-ipos/,"June 18, 2019 ",2022-10-13 03:45:22.726141,"Santo Domingo.- Dominican Republic’s Stock Market is growing at a brisk pace, but needs a “push” to compete with that of other economies.
The statement is by Santiago Camarena, executive vice president of Alpha Inversiones, one of the leading securities traders.
Despite recognizing that in the country still has “all the products in the world,” Camarena stressed that Alpha is promoting the stock market so that the customer begins to find products and in turn are tailored according to their needs.
Expectations at the close of 2019
The executive expects that once the regulations of Law 249-17 of the Stock Market are approved, private companies will venture into initial public offerings (IPO).
Camarena spoke during a visit on Monday, to El Nuevo Diario editor-in-chief Persio Maldonado, and economics journalist Clara González."
Dominican Republic’s first IPO tops US$150M,https://dominicantoday.com/dr/economy/2019/04/09/dominican-republics-first-ipo-tops-us150m/,"April 9, 2019 ",2022-10-13 03:45:22.863185,"Santo Domingo.- Securities superintendent, Gabriel Castro on Mon. announced the approved of Dominican Republic’s first initial public offering (IPO), which he labeled as a milestone for the country’s securities market.
The instrument of public offering, Fideicomiso de Oferta Pública de Valores Accionario Rica 03 – FU, will be up to RD$8.0 billion (US$150 million) to be managed by Universal Trustee.
“The assets that make up the trust’s assets are common shares of the share capital of Pasteurizadora Rica, S.A. The shares will be transferred to the trust in successive contributions by the trustees until reaching a limit of 40% of the shareholding property of Rica,” the official said.
The trustees that will transfer the assets to the trust will be Pasteurizadora Rica, S.A. and Consorcio Cítricos Dominicanos, S.A., represented by Pedro Brache, the Superintendence said in a statement.
According to analysis by consultant Deloitte, the value of the shares to be contributed to the trust total RD$9.1 billion. The shares to be transferred to the trust will participate in the results of the transactions of Pasteurizadora Rica, S.A.
“The securities to be issued will have a maturity of 30 years from the date of issue of the securities. They grant to those who acquire them equity interest in the trust pro rata of the investment, and will have a variable yield based on the profits or losses of the trust. The return on investment is medium to long term.”"
Egypt: The Financial Regulatory Authority approves e-finance’s IPO prospectus,https://www.african-markets.com/en/stock-markets/egx/egypt-the-financial-regulatory-authority-approves-e-finance-s-ipo-prospectus," October 07, 2021 11:47 AM",2022-10-13 03:44:30.740825,"The Financial Regulatory Authority (FRA) has approved the publication of the initial public offering (IPO) prospectus of e-finance for Digital and Financial Investments (EFIH), according to a statement filed to the Egyptian Exchange (EGX).
 
Through the IPO, up to 257.77 million shares of e-finance, accounting for 16.1% of the company’s total shares, will be offered on the Egyptian Exchange (EGX) for sale in the secondary market through a public offering and a private placement.
 
The company could raise the number of offered shares in the private placement based on the coverage ratio of not over 26.1%.





Last Sunday, e-finance announced it set the indicative price for its IPO on the EGX at a range between EGP 12.5 and EGP 13.98 per share.
 
The offering comprises a sell-down of 80 million secondary shares and a capital increase of 177.777 million primary shares, both account for 14.5% of the group’s share capital.
 
The final price announcement will be set based on a book-building process and is expected to take place on/around October 9th, 2021.
 
The subscription of the Egyptian retail offering is projected to commence on October 6th until October 13th, 2021.
 
Trading of the issuer’s shares on the EGX is expected to start on/around October 18th, 2021.
 
It is worth noting that e-finance reported a consolidated net profit attributable to the parent company of EGP 278.83 million in the first half (H1) of 2021.
 
Founded in 2005, e-finance is the first fintech platform in Egypt and a leading digital payment infrastructures’ developer."
Ghana Stock Exchange: SEC approves Energy Bank’s IPO to raise GHC340m,https://www.african-markets.com/en/stock-markets/gse/ghana-stock-exchange-sec-approves-energy-bank-s-ipo-to-raise-ghc340m," September 19, 2018 1:38 PM",2022-10-13 03:44:31.458652,"The Securities and Exchange Commission (SEC) has approved for the Energy Commercial bank to issue an Initial Public Offering (IPO) to help it meet the minimum capital requirement for banks.
 
The bank should resort to the investing public to raise 340 million cedis which represents about fifty percent of the company’s stake.
 
Though SEC’s approval comes a month after the originally planned August date, it suffices as a plus for Energy bank’s ability to meeting the new minimum capital requirement.

Energy bank now has the clearance to go to the public to raise 340 million cedis to shore up its capital.
 
The processes commenced in March this year; seven months after the announcement of the new minimum capital for banks.
 
Energy bank is confident that it will raise enough capital on the Ghana Stock Exchange because of its stability and performance over the years.
 
The 2018 half year performance of Energy bank shows that its total income increased by 72 percent between 5 million cedis compared to the estimated 3 million cedis recorded in the same period last year.
 
Similarly, the bank’s profit after tax increased a significant growth of over 400 percent to record 985 million cedis between January and June this year; compared to the 196 million cedis recorded the same period last year.
 
Energy bank is expected to now engage the IC Securities is the Transaction Adviser and is expected to market the shares to many investors within the country.
 
When the IPO is successful, Energy bank will be the eleventh commercial bank to list on the Ghana Stock Exchange.
 
The process to allow Ghanaians to become part owners of the lender began in March 2018."
Ghana: Energy Commercial Bank launches IPO to raise GH₵340 million,https://www.african-markets.com/en/stock-markets/gse/ghana-energy-commercial-bank-launches-ipo-to-raise-gh-340-million," October 03, 2018 1:36 PM",2022-10-13 03:44:32.865306,"Energy Commercial Bank Tuesday launched its Initial Public Offer to raise GH₵340 million in shares from the Ghanaian investing public.
 
The offer period which is expected to last for 30 days will be graced by several investors who have shown interest to acquire shares in the Bank. 
 
The Bank is floating millions of shares at GHS1.30p per share. The shares will subsequently be listed on the Ghana Stock Exchange where they will trade on the secondary market.

 IC Securities is the Transaction Adviser and is expected to market the shares to many investors within the country.
 
SEC’s approval
Earlier, Energy Commercial Bank received approval from the Securities and Exchange Commission (SEC) to raise GH¢340 million in shares from the Ghanaian investing public.
 
Prior to that, the Bank had gotten “No Objection” from the Bank of Ghana as well as the Ghana Stock Exchange to raise capital on the GSE by offloading over 50 percent of shares.
 
Energy Commercial Bank presently operates 12 branches in Ghana- five in Accra, three in Kumasi, and the rest in Tema, Takoradi and Tamale.
 
It is expected to expand vigorously once it completes its recapitalization.
 
IPO Prospectus."
Kenya: No offers in two years as NSE suffers IPOs drought,https://www.african-markets.com/en/stock-markets/nse/kenya-no-offers-in-two-years-as-nse-suffers-ipos-drought," March 07, 2018 10:48 PM",2022-10-13 03:44:33.578391,"Kenya capital markets lagged behind peers in Africa in Initial Public Offers (IPOs) and other secondary listings in the last five years, a new report shows.
 
According to the 2017 Africa Capital Markets Watch by PricewaterhouseCoopers (PwC), the Nairobi Securities Exchange (NSE) had no IPOs raised in either 2016 or 2017.
 
In the last five years, the NSE has only been able to raise Sh4.2 billion ($42 million) through two IPOs offered in 2014 and 2015 raising Sh700 million and Sh3.5 billion respectively.
 
“There were also no IPO activity in 2017 in Ghana compared to 2016, which saw $102 million raised on the Ghana Stock Exchange.

This year, the Nairobi Securities Exchange and Nigeria Stock Exchange both extended their IPO drought, with no new IPO capital raised in either 2016 or 2017,” the report said.
 
In contrast, elsewhere on the continent, 2017 saw some significant increases in IPO value on exchanges in Namibia, Rwanda and Tanzania compared to 2016.
 
This increased activity can be attributed to a combination of continued efforts by governments to either privatise stakes in state-owned entities or encourage local companies to list on domestic exchanges to build local market participation, and in certain situations, regulatory requirements compelling certain companies in certain sectors to list.
 
Over a five-year period, the vast majority of Further Offer (FO) activity (which include rights issues and second public offering) took place in South Africa, representing 65 per cent and 86 per cent of total FO volume and value, respectively.
 
Kenyan FO activity stalled in 2017 with no further offers on the NSE, potentially attributable to the tense environment that developed subsequent to elections held during the year.
 
During the period, Kenya was only able to raise a total of Sh31.8 billion from five offers, with two raising Sh4.6 billion in 2014, and three raising Sh27.2 billion in 2016.
But in 2016. KenGen FO was among the top 10 FOs of that year after raising Sh26.2 billion.
 
The report lists all new primary market equity IPOs and FOs by listed companies, in which capital was raised on Africa’s principal stock markets and market segments."
EGX: Macro Group IPO postponed,https://www.african-markets.com/en/stock-markets/egx/egx-macro-group-ipo-postponed," April 12, 2021 7:24 PM",2022-10-13 03:44:36.034824,"Macro Group Pharmaceuticals (Macro Capital) (MCRO) has postponed its Initial Public Offering (IPO) due to the many IPOs introduced at the same time in the Egyptian Exchange.
 
The postponed came in coordination with the Financial Regulatory Authority and concerned bodies.  
 
Integrated Diagnostic Holdings (IDH) is poised to float, however, the trading of Taaleem Management shares started last week.





Macro Capital intended to float a maximum of 264.513 million shares, representing 45.8% of total issued shares.
 
The pharmaceutical company announced earlier offering its share at EGP 6.15 per each in the secondary market. 
 
Macro Capital is a cosmeceutical company that was established in 2002. It offers a diversified product range focused on cosmeceuticals and herbal drugs."
