text,publish_date,scraped_date,title,link,companies_1,companies_2
"Geregu Power Plc (NGX:GEREGU) is a power generation company incorporated in 2006 and commissioned in 2007. The Company is principally engaged in the generation and sale of electric power.
 
Geregu’s power plant is wholly owned and operated by Amperion Power Distribution Company Limited (“APDCL”).
 
On Wednesday, October 5, 222, the company became the first power-generating company in the country to be admitted with the Mainboard of the Nigerian Exchange Limited (NGX) by way of listing by introduction with the admittance of 2.5 billion ordinary shares of 50 kobo each at N100 per share on the Exchange.
 
The listing added N250 billion to the market capitalization of NGX. On its first trading day on the NGX, the Power generating company’s share gained 10% to close at N110 per share from the N100 per share it was listed by introduction.
 
Meanwhile at the close of the last trading on Tuesday, October 11, 2022, it closed at 120.90 and thus has gained 9.91%, ranking it 39th on the NGX in terms of year-to-date performance and the 14th most valuable stock with a market capitalization of N302 billion.
 





 
Why Geregu listed by way of Introduction
Most companies prefer an Initial Public Offer ” IPO” during the listing, where new shares are created, underwritten, and sold to the public. During secondary trading on the NGX, ownership of shares is simply transferred from one investor to another.
 
IPO listing is a bit cumbersome and costly for most companies; hence some companies list their stocks via Listing by Way of Introduction (LBI).

In LBI, the company listing does not have to undergo the book building, underwriting, and public offer process, and no new shares are created; only existing, outstanding shares are sold.
This means Geregu Power Plc listing by introduction entails that only existing shareholders of Geregu in this case, its owners trade their already existing shares with anyone who may be interested in buying a piece of the company.
Amperion Power Distribution Company Limited owns the largest share in Geregu Power Plc.

Companies may opt for listing by the introduction to time the market and avoid or reduce market uncertainties or for other reasons not because they need money immediately.

For example, in 2019, Nigeria’s leading telecommunication company, MTNN listed by introduction on the NGX and prior to going public, had announced earnings before interest, taxes, and depreciation of N453.1bn ($1.27bn) for the 2018 financial year.
Also, recall that Geregu Power Plc in July 2022 announced its debut of N40.085 billion senior unsecured bonds under its N100 billion multi-instrument bond issuance in the debt market, which was over-subscribed.
The issuance which started on July 1, 2022, following Security and Exchange Commission’s approval closed on July 14, 2022, with a bond yield of 14.50%

 
Company Performance
The audited financial statements of the power generating company submitted to the regulators show that, in terms of earnings, the company, met the NGX listing requirement of a pre-tax profit from continuing operation of not less than N300million cumulatively for the last three (3) fiscal years and a minimum of N100 million in two (2) of these years.

The company’s last pre-listing financial year (2021) profit before tax stood at N29.512 billion; 43% up from N20.649 billion in 2020, while profit after tax was up 45.49% to N20.550 billion from N14.125 billion in 2020FY and earnings per share jumped to N2,055 per share from N1,412.54 in 2020.
Over the past four years (2018 -2021), the average profit after tax is N18.782 billion or 25% average growth per year, resulting in an impressive average net profit margin of 28% per year.

Bottom Line: Overall, when deciding to invest in shares of Geregu Power Plc, take a similar approach as if you are investing in IPO shares. Read the listing document or prospectus of the company to understand the business nature, its performance, which we have highlighted herein, and its outlook, to find out any corporate action recently taken such as dividend distribution or any possible risk.",12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,Nigeria: Why Geregu listed by Way of Introduction and not by IPO,https://www.african-markets.com/en/stock-markets/ngse/nigeria-why-geregu-listed-by-way-of-introduction-and-not-by-ipo,"[Geregu Power Plc, Company, Amperion Power Distribution Company Limited, the Nigerian Exchange Limited, Exchange, NGX, NGX, N110, NGX, LBI, Geregu Power Plc, Amperion Power Distribution Company Limited, Geregu Power Plc, MTNN, NGX, Geregu Power Plc, Security and Exchange Commission’s, Geregu Power Plc]",[]
"LOS ANGELES, Oct.  12, 2022  (GLOBE NEWSWIRE) -- Glancy Prongay & Murray LLP (“GPM”) reminds investors of the upcoming October 17, 2022 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquired MINISO Group Holding Limited (“MINISO” or the “Company”) (NYSE: MNSO) securities pursuant and/or traceable to the registration statement and prospectus (collectively, the “Registration Statement”) issued in connection with the Company’s October 2020 initial public offering (the “IPO” or “Offering”).  If you suffered a loss on your MINISO investments or would like to inquire about potentially pursuing claims to recover your loss under the federal securities laws, you can submit your contact information at www.glancylaw.com/cases/miniso-group-holding-limited/. You can also contact Charles H. Linehan, of GPM at 310-201-9150, Toll-Free at 888-773-9224, or via email at shareholders@glancylaw.com to learn more about your rights.  On October 15, 2020, MINISO conducted its IPO, issuing approximately 30.4 million American Depositary Shares (“ADSs”) at $20.00 per ADS.  On July 26, 2022, Blue Orca Capital published a report alleging, among other things, that MINISO “lies about its core business model” by claiming that 99% of its stores in China are operated by independent franchises. However, an investigation shows that over 620 supposedly independent franchises are registered under the names of MINISO executives or individuals “closely connected” to the Company’s chairman.  On this news, MINISO’s ADS price fell $1.08, or 15%, to close at $6.13 per ADS on July 26, 2022, thereby injuring investors.  The complaint filed in this class action alleges that Defendants made materially false and/or misleading statements, as well as failed to disclose material adverse facts about the Company’s business, operations, and prospects. Specifically, Defendants failed to disclose to investors that: (1) Defendants and other undisclosed related parties owned and controlled a much larger amount of MINISO stores than previously stated; (2) as a result, MINISO concealed its true costs; (3) the Company did not represent its true business model; (4) Defendants, including the Company and its Chairman, engaged in planned unusual and unclear transactions; (5) as a result of at least one of these transactions, the Company is at risk of breaching contracts with PRC authorities; (6) the Company would imminently and drastically drop its franchise fees; and (7) as a result, Defendants’ positive statements about the Company’s business, operations, and prospects were materially misleading and/or lacked a reasonable basis at all relevant times.  Follow us for updates on LinkedIn, Twitter, or Facebook.  If you purchased or otherwise acquired MINISO securities pursuant and/or traceable to the IPO, you may move the Court no later than October 17, 2022 to request appointment as lead plaintiff in this putative class action lawsuit. To be a member of the class action you need not take any action at this time; you may retain counsel of your choice or take no action and remain an absent member of the class action. If you wish to learn more about this class action, or if you have any questions concerning this announcement or your rights or interests with respect to the pending class action lawsuit, please contact Charles Linehan, Esquire, of GPM, 1925 Century Park East, Suite 2100, Los Angeles, California 90067 at 310-201-9150, Toll-Free at 888-773-9224, by email to shareholders@glancylaw.com, or visit our website at www.glancylaw.com. If you inquire by email please include your mailing address, telephone number and number of shares purchased.  This press release may be considered Attorney Advertising in some jurisdictions under the applicable law and ethical rules.  Contacts Glancy Prongay & Murray LLP, Los Angeles Charles Linehan, 310-201-9150 or 888-773-9224 shareholders@glancylaw.com www.glancylaw.com",12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,Glancy Prongay & Murray LLP Reminds Investors of Looming Deadline in the Class Action Lawsuit Against MINISO Group Holding Limited (MNSO),https://www.globenewswire.com/news-release/2022/10/12/2533221/34548/en/Glancy-Prongay-Murray-LLP-Reminds-Investors-of-Looming-Deadline-in-the-Class-Action-Lawsuit-Against-MINISO-Group-Holding-Limited-MNSO.html,"[GLOBE NEWSWIRE, GPM, MINISO Group Holding Limited, NYSE, GPM, MINISO, IPO, Blue Orca Capital, MINISO, MINISO, Company, MINISO, MINISO, MINISO, Company, Company, MINISO, IPO, Court, GPM]","[Prongay & Murray LLP Reminds Investors of, the Class Action Lawsuit Against MINISO Group Holding Limited]"
"NEW YORK, Oct.  12, 2022  (GLOBE NEWSWIRE) -- Attorney Advertising--Bronstein, Gewirtz & Grossman, LLC reminds investors that a class action lawsuit has been filed against the following publicly-traded companies. You can review a copy of the Complaints by visiting the links below or you may contact Peretz Bronstein, Esq. or his Law Clerk and Client Relations Manager, Yael Nathanson of Bronstein, Gewirtz & Grossman, LLC at 212-697-6484. If you suffered a loss, you can request that the Court appoint you as lead plaintiff.  Your ability to share in any recovery doesn't require that you serve as a lead plaintiff. A lead plaintiff acts on behalf of all other class members in directing the litigation. The lead plaintiff can select a law firm of its choice. An investor's ability to share in any potential future recovery is not dependent upon serving as lead plaintiff.   Barclays PLC (NYSE: BCS) Class Period: February 18, 2021- March 25, 2022Deadline: November 22, 2022For more info: www.bgandg.com/bcs1.The Complaint alleges that defendants made false and/or misleading statements and/or failed to disclose that: (1) in Barclays reported financial statements (which have been restated); (2) by stating that Barclays internal controls over financial reporting were effective (which Barclays has admitted were not effective and had a material weakness); and (3) by failing to disclose the over-issuance and that Barclays Bank PLC (“BBPLC”), a wholly-owned subsidiary of Barclays, was violating U.S. securities laws and/or SEC regulations, subjecting Barclays to legal liability. When the true details entered the market, the lawsuit claims that investors suffered damages.  Yatsen Holding Limited (NYSE: YSG)Class Period: (i) pursuant and/or traceable to the Company's initial public offering conducted on or about November 19, 2020 (the ""IPO""); and/or (ii) between November 19, 2020 and March 10, 2022, both dates inclusive (the ""Class Period"")Deadline: November 22, 2022For more info: www.bgandg.com/ysg. The Complaint alleges that throughout the Class Period, Defendants misled investors into believing that Yatsen's two largest and historically most significant brands, Perfect Diary and Little Ondine, were thriving, thereby driving Yatsen's ""healthy"" top-line growth at the time of its IPO and quarter after quarter thereafter. In truth, however, cosmetic and skincare sales of Perfect Diary and Little Ondine products were declining in the period leading up to (and including at the time of) the IPO and continued to decline throughout 2021.  Olo Inc. (NYSE: OLO) Class Period: August 11, 2021 - August 11, 2022Deadline: November 28, 2022For more info: www.bgandg.com/olo. The Complaint alleges that defendants made false and/or misleading statements, and/or failed to disclose that: (1) Subway was ending its contract with Olo; (2) Olo's key business metric – active locations – could not continue to grow as Defendants touted due to the loss of Subway's business; and (3) that, as a result of the above, Defendants' statements about Olo's business, operations, and prospects were false and misleading and/or lacked a reasonable basis.  Contact:Bronstein, Gewirtz & Grossman, LLCPeretz Bronstein or Yael Nathanson212-697-6484 | info@bgandg.com ",12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,"BCS, YSG & OLO Class Action Deadlines: Bronstein, Gewirtz & Grossman, LLC, A Successful Firm, Reminds Investors of Deadlines and to Actively Participate",https://www.globenewswire.com/news-release/2022/10/12/2533116/9788/en/BCS-YSG-OLO-Class-Action-Deadlines-Bronstein-Gewirtz-Grossman-LLC-A-Successful-Firm-Reminds-Investors-of-Deadlines-and-to-Actively-Participate.html,"[GLOBE NEWSWIRE, Gewirtz & Grossman, Complaints, Bronstein, Gewirtz & Grossman, Court, Barclays PLC, NYSE, BCS, www.bgandg.com/bcs1.The Complaint, Barclays, Barclays, Barclays Bank PLC, BBPLC, Barclays, SEC, Yatsen Holding Limited, NYSE, Company, Complaint, Defendants, Yatsen, Perfect Diary and Little Ondine, Yatsen, Perfect Diary and Little Ondine, Olo Inc., NYSE, OLO, Complaint, Olo, Defendants, Subway, Defendants, Gewirtz & Grossman]","[BCS, YSG & OLO Class Action, Gewirtz & Grossman, LLC, Reminds Investors, Actively Participate]"
