text,publish_date,scraped_date,title,link,companies_1,companies_2
"So, the East African country is seeking to raise as much as $4 billion. And it has its eyes set on foreign investors, particularly those in the United States of America and Italy.
    




        Business Insider Africa understands that the Ugandan Government had to shift focus to foreign investors following disappointment from some regional governments who, though initially showed interest in taking up equity stakes in the project, have failed to commit financially.
    




        According to The East African, the project was expected to take off in 2018 but has not, due to this lack of commitment from the regional investors. The Ugandan Government is now targeting 2027 for takeoff, provided it is able to secure the needed funds from the foreign investors whom it is currently prospecting. 
    




        Over in Nigeria, the country's formerly state-owned energy company has officially transitioned into a commercial venture. During an elabourate ceremony in Abuja yesterday, the company's new name was officially unveiled as NNPC Ltd.
    




        Group CEO, Mele Kyari, also told reporters that plans are underway to launch an Initial Public Offering (IPO) for the company by mid-2023.
    




""We are convinced that by the middle of next year, this company will be IPO ready, which means that you have the system, processes, and a company that is accountable to its stakeholders and shareholders,"" Mele Kyari was quoted by Reuters to have said.
    




        There are high expectations for NNPC Ltd as a private company. One of these expectations is that the company will, henceforth, start conducting its business affairs in a profitable manner. 
    




        Recall that the company, which has been in operation since 1977, disclosed its financial statements to the public for the first time in 2020, much to the dismay of many Nigerians. The financial report had shown some $3.6 billion (N1.5 trillion) accumulated losses over the years, with auditors (including PwC and SIAO Partners0 raising concerns over the oil company's ability to continue as a going concern.",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Uganda needs $4 billion to jumpstart its oil refinery as Nigeria's NNPC eyes an IPO,https://africa.businessinsider.com/local/markets/nnpc-ltd-eyes-an-ipo-as-uganda-seeks-dollar4-billion-for-refinery/9kr4fdh,"[Business Insider Africa, the Ugandan Government, The Ugandan Government, NNPC Ltd., Initial Public Offering, Reuters, NNPC Ltd]",[NNPC]
"   australia’s initial public offering (ipo) sector has seen relatively lukewarm  …  year.   a total of 15 ipos were preparing to get listed … , which represents 44 of 59 ipo listings this year. mining and …  are planning to list their ipos on the asx next week … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"AG1, OCT: Two IPOs to be listed on ASX in next two weeks",https://kalkinemedia.com/au/news/ipo/ag1-oct-two-ipos-to-be-listed-on-asx-in-next-two-weeks,[],[ASX]
" …  be ready to launch an initial public offering (ipo) in the middle of next …  year, this company will be ipo ready, which means that you …",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"Nigeria's NNPC sees IPO launch mid next year, CEO says",https://www.zawya.com/en/economy/africa/nigerias-nnpc-sees-ipo-launch-mid-next-year-ceo-says-lbs7xg1g,[],[NNPC]
" …  the crypto equivalent of an ipo, an initial public offering. ico requires a lot …  the crypto equivalent of an ipo, an initial public offering. ico requires a lot …",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,5 Best ICO Projects in 2022 – Top Initial Coin Offerings,https://ipo.einnews.com/article/582071639/qInBx-wuyqz1zANg?ref=rss&ecode=cpCdwuL2w4azHHGe,[],[]
"    …  said.   nigeria’s nnpc plans ipo launch by mid of next …  be ready to launch an initial public offering in the middle of next …  year, this company will be ipo ready, which means that you … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"Saudi Tourism Development Fund, Ennismore to establish $400m hospitality investment fund ",https://ipo.einnews.com/article/582136436/q1q8nFirbbfDE1Ko?ref=rss&ecode=cpCdwuL2w4azHHGe,[nnpc],[Saudi Tourism Development Fund]
"    … accounts only to apply for ipo (initial public offering) shares.   the market  … scope of getting more ipo shares through having more … decisions, including allotment of ipo shares on pro-rata  … requirement for investors applying for ipo shares.   previously, general  … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"82,668 BO accounts closed in one and a half months",https://ipo.einnews.com/article/582105581/1H3M8noNa2auH9hR?ref=rss&ecode=cpCdwuL2w4azHHGe,[],[]
"    … the controlling families pushing the initial public offering to fund a costly  …  volkswagen group, while the ipo would not ""create  …  decisions"" on its ipo plans, while volkswagen declined  … most influential investors.   an ipo would win porsche and its … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Porsche faces uphill drive in race to public listing,https://ipo.einnews.com/article/582114013/exQHVFf90eV2_wz4?ref=rss&ecode=cpCdwuL2w4azHHGe,[volkswagen],[Porsche]
"    … and the sources said an initial public offering (ipo) first targeted for 2022 has … america did not respond.   ipo on hold mounting lossesbetting on … ($782 million) in an ipo, hoping to list in 2022 …  required to refile ipo regulatory papers.   the ipo delay comes as … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,PharmEasy in talks with investors to raise USD 200 million at lower valuation,https://medicaldialogues.in/news/industry/pharma/pharmeasy-in-talks-with-investors-to-raise-usd-200-million-at-lower-valuation-96251,[],[]
 …  during siemens energy's initial public offering (ipo) at the frankfurt stock exchange …,20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Siemens Energy prepared to maintain further turbines if sanctions permit,https://www.reuters.com/business/energy/siemens-energy-prepared-maintain-further-turbines-if-sanctions-permit-2022-07-20/,[siemens energy's],[Siemens Energy]
"    …  sources said the company’s initial public offering (ipo) has been delayed.   betting on …  raise $782 million in an ipo, hoping to list in 2022 … .   softbank delays arm’s london ipo   japanese behemoth softbank has halted … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,PharmEasy may take 25% valuation cut; B Capital raises $250M for early-stage bets,https://ipo.einnews.com/article/582087214/6cM6Mhb-MCL0HVpy?ref=rss&ecode=cpCdwuL2w4azHHGe,[],[B Capital]
" … the controlling families pushing the initial public offering to fund a costly  …  volkswagen group, while the ipo would not ""create  …  decisions"" on its ipo plans, while volkswagen declined  … most influential investors. an ipo would win porsche and its …",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Analysis - Porsche faces uphill drive in race to public listing,https://www.saltwire.com/cape-breton/business/analysis-porsche-faces-uphill-drive-in-race-to-public-listing-100755088/,[volkswagen],[Analysis - Porsche]
" …  with a monster of an initial public offering in new york. valuing the …  at $68 billion, didi’s ipo was the biggest listing in …  first year of an asian ipo worth over $1 billion, per …",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Didi to be slapped with $1.28 billion fine as Beijing wraps up yearlong probe,https://ipo.einnews.com/article/582080614/0Tus-kTVCCp66iwr?ref=rss&ecode=cpCdwuL2w4azHHGe,[],[]
"    …  about $97 million in its initial public offering. the firm was previously part …  each tuesday, down from their ipo price of $14.   last july … ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Semiconductor maker to announce Purdue partnership,https://ipo.einnews.com/article/582089787/O6BIAwDRMuewCS7t?ref=rss&ecode=cpCdwuL2w4azHHGe,[],[Purdue]
" … , focusing mostly on pre-initial public offering, or pre-ipo, and merger and acquisition …",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"Vinci Partners Investments : TO ANNOUNCE SECOND QUARTER 2022 RESULTS AND HOST WEBCAST AFTER MARKET CLOSE ON THURSDAY, AUGUST 11, 2022 - Form 6-K",https://ipo.einnews.com/article/582095937/iSkJG9RXgFMu11ZH?ref=rss&ecode=cpCdwuL2w4azHHGe,[],"[Vinci Partners Investments, HOST WEBCAST]"
"July 19 (Reuters) - A Delaware judge on Tuesday set an October trial for Elon Musk's dispute with Twitter Inc (TWTR.N) over his $44 billion acquisition which the billionaire is trying to scuttle.  read more Here is a look at some of the key lawyers on both sides as the case heats up in Delaware's specialized Court of Chancery.FOR TWITTERWachtell, Lipton, Rosen & KatzRegister now for FREE unlimited access to Reuters.comRegisterTwitter lawyer William Savitt co-chairs the litigation department at elite Wall Street law firm Wachtell, focusing on disputes in Delaware and elsewhere over mergers and acquisitions, proxy contests and other corporate dust-ups.Wachtell was earlier part of a team that represented Musk and Tesla Inc's (TSLA.O) board in a lawsuit brought by Tesla shareholders over the electric vehicle maker's $2.6 billion acquisition of solar panel maker SolarCity. Court documents show Musk's Wachtell lawyers left the litigation in 2019. Wachtell was also among the legal advisers on Musk’s plan to take Tesla private in 2018.Wilson Sonsini Goodrich & RosatiBrad Sorrels of the Silicon Valley-founded Wilson Sonsini firm specializes in litigation over soured corporate deals, with a client list that has included Palantir Technologies Inc (PLTR.N), Mattel Inc (MAT.O), Stitch Fix Inc (SFIX.O) and Roku Inc (ROKU.O).Like Wachtell, Wilson Sonsini is no stranger to Musk and Tesla. The firm worked on the carmaker's 2010 initial public offering and has often represented the company in court.FOR MUSKQuinn Emanuel Urquhart & SullivanAlex Spiro, a white-collar defense lawyer at Quinn Emanuel, represented Musk in his recent bid to undo a U.S. Securities and Exchange Commission settlement over tweets about potentially taking his automotive company private. He also successfully defended Musk in a defamation trial over the tech mogul’s 2018 tweet referring to a British caver who helped rescue a Thai soccer team as “a pedo guy.”Spiro has represented several celebrity clients including Jay-Z, Bobby Shmurda and Kendall Jenner.Musk is also represented by Quinn Emanuel partner Andrew Rossman, a leader of the firm’s New York office who has experience handling merger cases in Delaware.Skadden, ArpsMichael Ringler, an adviser on corporate deals with Skadden, Arps, Slate, Meagher & Flom, represented Musk as he crafted his agreement to purchase Twitter.Musk has also turned in the Twitter lawsuit to Skadden partner Edward Micheletti, a Delaware Chancery Court veteran with a client list that has included Activision Blizzard Inc (ATVI.O), Goldman Sachs Group Inc and JPMorgan Chase & Co .Register now for FREE unlimited access to Reuters.comRegisterReporting by Jacqueline Thomsen in Washington and Sara Merken in New York
Editing by David Bario and Matthew LewisOur Standards: The Thomson Reuters Trust Principles.",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,Factbox: Spotlight shines on battling lawyers in Twitter-Elon Musk dispute,https://www.reuters.com/article/idUSKBN2OU1RX,"[Reuters, Twitter Inc, Court of Chancery, TWITTERWachtell, Lipton, Rosen & KatzRegister, FREE, Wachtell, Tesla Inc's, SolarCity, 2018.Wilson Sonsini Goodrich &, Wilson Sonsini, Palantir Technologies Inc, Mattel Inc, Stitch Fix Inc, Roku Inc, Tesla, MUSKQuinn Emanuel Urquhart & SullivanAlex Spiro, Quinn Emanuel, U.S. Securities and Exchange Commission, Skadden, Arps, Slate, Meagher & Flom, Delaware Chancery Court, Activision Blizzard Inc, ATVI.O, Goldman Sachs Group Inc, JPMorgan Chase & Co, FREE, The Thomson Reuters Trust Principles]",[]
"AFTER indicating in recent months that it will soon be seeking to raise capital to facilitate its business growth activities, Regency Petroleum Limited (RPL) has now selected GK Capital Management (GKCM) as its financial advisor in that pursuit. According to GKCM, the engagement ""will likely result in an initial public offer (IPO) of RPL's ordinary shares via the Jamaica Stock Exchange (JSE)"". The Jamaica Observer understands that the funds are to be raised ""before the first quarter of 2023"", giving it a timeline of later this year, with the funds being ""within Junior Market limits should we IPO"" according to Ryan Strachan, vice-president of investor relations at GK Capital Management. The limit for companies raising funds with an intention to list on the Junior Market is $500 million, but it is not clear if Regency will seek to raise the maximum amount. Regency Petroleum, a petroleum marketing company licensed to distribute bulk petroleum products, was incorporated in Jamaica in May 2018 and is owned and operated by Andrew Williams and Jeneive Sabdul-Williams. The company put down roots in western Jamaica and has grown steadily since its inception to become a preferred supplier to numerous households, hotels, restaurants, bakeries, and other local industries, GKCM outlined in a release on Monday. Regency started out distributing solely LPG cylinders and has since added a retail division of petroleum products specific to gasoline and diesel fuel. ""Our current focus is developing the automotive petroleum segment of our business, and an injection of capital will fuel our strategic plans,"" opined Andrew Williams, CEO of Regency Petroleum, in a company release. Strachan, commented,  ""We are excited about this new professional relationship that we have established with Regency. We have always taken a keen interest in supporting businesses with high growth potential and helping them realise their capital growth objective."" GK Capital Management Ltd is the investment and advisory arm of GraceKennedy Limited, established in 2014. The firm is a licensed securities dealer, offering products and services regulated by the Jamaica Stock Exchange and the Financial Services Commission. Strachan stated, ""Given RPL's performance over the past four years, it is encouraging that they are likely to be the second company in the energy sector to pursue listing on the Jamaica Stock Exchange. These are indications of a broadening of the market and the resilience of the entrepreneurial spirit in Jamaica."" Patsy Latchman-Atterbury, managing director of GKCM, commented, ""It is admirable that in a time when businesses are still navigating the challenges of the [novel coronavirus] pandemic, RPL is laser-focused on building capacity and expanding their business. We are confident that GK Capital's advisory services will further strengthen Regency Petroleum's market position."" ",20/Jul/2022 00:00:00,20/Jul/2022 16:57:51,"
                Regency Petroleum takes aim at listing on the JSE
            ",https://www.jamaicaobserver.com/business/regency-petroleum-takes-aim-at-listing-on-the-jse/,"[Regency Petroleum Limited, GK Capital Management, RPL, the Jamaica Stock Exchange, JSE, GK Capital Management, the Junior Market, Regency, Regency, GK Capital Management Ltd, the Jamaica Stock Exchange, the Financial Services Commission, RPL, the Jamaica Stock Exchange, RPL, GK Capital's]",[]
