text,publish_date,scraped_date,title,Companies,link
"If this was forwarded to you, sign up here. Download Insider's app here.










David Solomon, the chief executive of Goldman Sachs, has tasked Salisbury with one of his most prized initiatives: building its asset management business into a juggernaut.
 8cdba64a-f945-47a9-a2d9-30220436e0d2








1. Goldman Sachs will reduce the ""velocity"" of its hiring, and won't fill some roles that are vacated through natural attrition. The bank has also reduced compensation expenses for the first half of this year by $3.5 billion versus the same period in 2021, Chief Financial Officer Denis Coleman told analysts during Goldman's second-quarter earnings call on Monday.
    




        Goldman also warned it will reintroduce its annual performance reviews, something it put on hold during the earlier stages of the pandemic. Banks have used such reviews to purge their workforces of under-performing bankers. Historically, Goldman's performance checks have led to the bottom 5% of the staff being laid off.
    




        Weak earnings, particularly in firms' investment-banking divisions, have folks braced for job cuts as Wall Street firms come to terms with a volatile market and high inflation. That's contributed to a slump in dealmaking. M&A volumes are down 21% year-over-year, and fees from equity capital markets are down 72%.
    




And it's not just dealmakers that are fearing cuts. College grads are concerned that their full-time offers might dwindle, too.
    




        BlackRock also told staffers that it's scaling back hiring plans on the back of economic uncertainty, Insider previously reported.
    




        Wall Street firms' adoption of hiring freezes comes just months after many showered bankers with handsome bonuses. Dealmaking soared in the first two years of the pandemic as cheap money and high company valuations prompted firms to tap the capital markets for debt, or to go public via IPO, or through a tie up with a special purpose acquisition vehicle, or SPAC.
    




        Today, however, the sharp dip in revenues in investment banking has prompted a sea change across Wall Street.
    




        Here's everything we know about banks' belt tightening efforts and how it will impact jobs and pay.
    




In other news:










Tesla CEO Elon Musk exits federal court in New York City.
 c9873df4-a17f-40d9-901a-ba74caac23c2








2. Elon Musk's penchant for not playing by the rules could land him in prison. He could also cop massive fines or lose control of his Tesla stock if he doesn't comply with a court order in Twitter's suit, according to a legal expert.
    




3. Lawyers allege Carvana's founding family used unlawful means to stay in control. The Garcia family controls over 87% of the votes in the online car dealer, but the same lawyers who went after Palantir over its founders' voting power have set their sights on Carvana.
    




4. A bright spot is emerging on Bank of America's trading floor, and it's coming from an unexpected place. BofA's FX and emerging-market trading has enjoyed some wins as strong sales and trading numbers prop up an otherwise weaker earnings season.
    




5. Two ex-quant traders exploited their industry's notorious noncompetes to bootstrap a billion-dollar crypto startup. Tarun Chitra and Rei Chiang ditched quant trading to start Gauntlet, which helps companies manage risks around crypto lending.
    




6. SoftBank has put on hold plans for an IPO of Arm in London due to political uncertainty in the UK, the Financial Times reported. The Japanese investor's decision is another blow to an already wounded equity-capital-markets space, which is navigating a dip in dealmaking and potential job cuts.
    




7. A 38-year-old makes $2,200 in monthly interest investing in peer-to-peer loans. Here's how he set up this easy passive income stream.
    




8. Swiss startup Nevermined raised $3 million in Series A funding after launching in April. The company is focused on opening up access to Web3, and here's the 13-page pitch deck it used to secure the money.
    




9. Russia had ambitions of making Moscow a global finance hub. The annexation of Crimea in 2014, and today's war in Ukraine have crushed that dream.
    




10. Rich residents of Michael Meldman's Silo Ridge Club reckon they're getting fleeced. Dozens of owners of multimillion-dollar homes are suing Amenia, a town in New York, over property taxes.
    




Done deals:





Curated by Aaron Weinman in New York. Tips? Email aweinman@insider.com or tweet @aaronw11. Edited by Hallam Bullock (tweet @hallam_bullock) in London.",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,"Goldman Sachs slows hiring, and resurrects the dreaded performance review as investment bankers brace for layoffs","[Goldman Sachs, Goldman Sachs, Goldman, Goldman, Goldman, BlackRock, SPAC, Twitter, Palantir, Bank of America's, BofA's FX, Gauntlet, SoftBank, the Financial Times, Silo Ridge Club],[Goldman Sachs]",https://africa.businessinsider.com/finance/goldman-sachs-slows-hiring-and-resurrects-the-dreaded-performance-review-as/vnj961f
"NEW YORK, July  19, 2022  (GLOBE NEWSWIRE) -- Wolf Haldenstein Adler Freeman & Herz LLP  announces that a federal securities class action lawsuit has been filed in the United States District Court for the Southern District of New York on behalf of investors who purchased or otherwise acquired the American Depositary Shares (“ADS’s) of Molecular Partners AG (""Molecular Partners"" or the ""Company"") (NASDAQ: MOLN) on behalf of a class consisting of all persons that purchased or otherwise acquired:  All investors who purchased the ADS’s of Molecular Partners and incurred losses are urged to contact the firm immediately at classmember@whafh.com or (800) 575-0735 or (212) 545-4774. You may obtain additional information concerning the action or join the case on our website, www.whafh.com.  If you have incurred losses in the ADS’s of Molecular Partners, you may, no later than September 12, 2022, request that the Court appoint you lead plaintiff of the proposed class. Please contact Wolf Haldenstein to learn more about your rights as an investor in the ADS’s of Molecular Partners.  PLEASE CLICK HERE TO JOIN CASE  On April 22, 2021, Molecular Partners filed a registration statement on Form F-1 with the U.S. Securities and Exchange Commission (""SEC"") in connection with the IPO, which, after several amendments, was declared effective by the SEC on June 15, 2021 (the ""Registration Statement"").Pursuant to the Offering Documents, Molecular Partners conducted the IPO, issuing 3 million of its ADSs to the public at the IPO price $21.25 per ADS, for proceeds to the Company of approximately $59 million The filed complaint alleges that the Offering Documents were negligently prepared and, as a result, contained untrue statements of material fact or omitted to state other facts necessary to make the statements made not misleading and were not prepared in accordance with the rules and regulations governing their preparation. Additionally, the complaint alleges that, throughout the Class Period, Defendants made materially false and misleading statements regarding the Company's business, operations, and prospects. Specifically, the Offering Documents and Defendants made false and/or misleading statements and/or failed to disclose that:  On November 16, 2021, Molecular Partners disclosed that ""a planned futility analysis of ensovibep in an] ongoing [Phase 3] clinical study . . . has not met the thresholds required to continue enrollment of adults with COVID-19 in the hospitalized setting.""On this news, Molecular Partners' ADS price fell $4.64 per ADS, or 31.37%, to close at $10.15 per ADS on November 16, 2021.  On April 26, 2022, months after applying for EUA from the FDA for ensovibep, Novartis' Chief Executive Officer, Vas Narasimhan, disclosed that ""given the latest feedback . . . in our discussions with the [FDA], we would expect the agency to require a Phase 3 study before granting an EUA approval or a general approval"" for ensovibep, and that ""we need to make a kind of sober evaluation as to is it a doable study in light of the waning rates of COVID around the world[.]""On this news, Molecular Partners' ADS price fell $2.68 per ADS, or 16.17%, to close at $13.89 per ADS on April 26, 2022.Then, also on April 26, 2022, during after-market hours, Molecular Partners ""announced that Amgen . . . has informed the Company of their decision to return global rights of MP0310 to Molecular Partners following a strategic pipeline review.""On this news, Molecular Partners' ADS price fell $5.19 per ADS, or 37.37%, to close at $8.70 per ADS on April 27, 2022-a total decline of $7.87 per ADS, or 47.5%, over two consecutive trading days, and 59.06% below the $21.25 per ADS IPO price.As of the time the complaint was filed, the price of Molecular Partners' ADS’s continued to trade below the $21.25 per ADS IPO price, damaging investors.  PLEASE CLICK HERE TO JOIN CASE  Wolf Haldenstein has extensive experience in the prosecution of securities class actions and derivative litigation in state and federal trial and appellate courts across the country. The firm has attorneys in various practice areas; and offices in New York, Chicago and San Diego. The reputation and expertise of this firm in shareholder and other class litigation has been repeatedly recognized by the courts, which have appointed it to major positions in complex securities multi-district and consolidated litigation.  If you wish to discuss this action or have any questions regarding your rights and interests in this case, please immediately contact Wolf Haldenstein by telephone at (800) 575-0735, via e-mail at classmember@whafh.com, or visit our website at  www.whafh.com.  Contact:  Wolf Haldenstein Adler Freeman & Herz LLP Patrick Donovan, Esq.Gregory Stone, Director of Case and Financial AnalysisEmail: gstone@whafh.com, donovan@whafh.com or classmember@whafh.comTel: (800) 575-0735 or (212) 545-4774  This press release may be considered Attorney Advertising in some jurisdictions under the applicable law and ethical rules.",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,MOLECULAR PARTNERS CLASS ACTION ALERT: Wolf Haldenstein Adler Freeman & Herz LLP announces that a securities class action lawsuit has been filed against Molecular Partners in the United States District Court for the Southern District of New York,"[GLOBE NEWSWIRE, the American Depositary Shares, Molecular Partners AG, NASDAQ, Molecular Partners, Molecular Partners, Court, Molecular Partners, Molecular Partners, the U.S. Securities and Exchange Commission, SEC, SEC, the Offering Documents, Molecular Partners, ADS, the Company of, the Offering Documents, Defendants, Company, the Offering Documents and Defendants, Molecular Partners, Molecular Partners', ADS, ADS, EUA, FDA, Novartis, FDA, EUA, Molecular Partners', ADS, ADS, Molecular Partners, Amgen, Molecular Partners, Molecular Partners', ADS, ADS, ADS, ADS, Molecular Partners', ADS],[Molecular Partners]",https://www.globenewswire.com/news-release/2022/07/20/2482355/6819/en/MOLECULAR-PARTNERS-CLASS-ACTION-ALERT-Wolf-Haldenstein-Adler-Freeman-Herz-LLP-announces-that-a-securities-class-action-lawsuit-has-been-filed-against-Molecular-Partners-in-the-Unit.html
"RIO DE JANEIRO, Brazil, July  19, 2022  (GLOBE NEWSWIRE) -- Vinci Partners Investments Ltd. (NASDAQ: VINP) (""Vinci Partners,” ""we,"" ""us,"" or ""our""), the controlling company of a leading alternative investment platform in Brazil, announced today that it will release financial results for the second quarter 2022 after market close on Thursday, August 11, 2022, and host a conference call via public webcast at 5:00 pm ET.  Webcast and Earnings Conference Call  To access the webcast please visit the Events & Presentations’ section of the Company's website at: https://ir.vincipartners.com/news-and-events/events-and-presentations. For those unable to listen to the live broadcast, there will be a webcast replay on the same section of the website.  To access the conference call through dial in, please register at 2Q22 VINP Earnings Dial In to obtain the conference number and access code.  About Vinci Partners  Vinci Partners is a leading alternative investment platform in Brazil, established in 2009. Vinci Partners' business segments include private equity, public equities, real estate, credit, infrastructure, hedge funds, and investment products and solutions, each managed by dedicated investment teams with an independent investment committee and decision-making process. We also have a financial advisory business, focusing mostly on pre-initial public offering, or pre-IPO, and merger and acquisition, or M&A, advisory services for Brazilian middle-market companies.  Forward-Looking Statements  This press release contains forward-looking statements that can be identified by the use of words such as “anticipate,” “believe,” “could,” “expect,” “should,” “plan,” “intend,” “estimate” and “potential,” among others. By their nature, forward-looking statements are necessarily subject to a high degree of uncertainty and involve known and unknown risks, uncertainties, assumptions and other factors because they relate to events and depend on circumstances that will occur in the future whether or not outside of our control. Such factors may cause actual results, performance or developments to differ materially from those expressed or implied by such forward-looking statements and there can be no assurance that such forward-looking statements will prove to be correct. The forward-looking statements included herein speak only as at the date of this press release and we do not undertake any obligation to update these forward-looking statements. Past performance does not guarantee or predict future performance. Moreover, neither we nor our affiliates, officers, employees and agents undertake any obligation to review, update or confirm expectations or estimates or to release any revisions to any forward-looking statements to reflect events that occur or circumstances that arise in relation to the content of this press release. Further information on these and other factors that could affect our financial results is included in filings we have made and will make with the U.S. Securities and Exchange Commission from time to time.  USA Media Contact  Nick Lamplough / Kate Thompson / Katie Villany  Joele Frank, Wilkinson Brimmer Katcher  +1 (212) 355-4449  Brazil Media Contact  Danthi Comunicações  Carla Azevedo (carla@danthicomunicacoes.com.br)  +55 (21) 3114-0779  Investor Contact  ShareholderRelations@vincipartners.com  NY: +1 (646) 559-8040  RJ: +55 (21) 2159-6240  ",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,"Vinci Partners to Announce Second Quarter 2022 Results and Host Webcast After Market Close on Thursday, August 11, 2022","[RIO DE JANEIRO, GLOBE NEWSWIRE, Vinci Partners Investments Ltd., NASDAQ, VINP, the Events & Presentations, Company, VINP Earnings Dial, Vinci Partners', the U.S. Securities and Exchange Commission],[Vinci Partners]",https://www.globenewswire.com/news-release/2022/07/19/2482312/0/en/Vinci-Partners-to-Announce-Second-Quarter-2022-Results-and-Host-Webcast-After-Market-Close-on-Thursday-August-11-2022.html
"Did you lose money on investments in Missfresh Limited? If so, please visit Missfresh Limited Shareholder Class Action Lawsuit or contact Peter Allocco at (212) 951-2030 or pallocco@bernlieb.com to discuss your rights.  NEW YORK, July  19, 2022  (GLOBE NEWSWIRE) -- Bernstein Liebhard LLP, a nationally acclaimed investor rights law firm, reminds investors of the deadline to file a lead plaintiff motion in a securities class action lawsuit that has been filed on behalf of investors who purchased or otherwise acquired the securities of Missfresh Limited (“Missfresh” or the “Company”) (NASDAQ: MF) pursuant and/or traceable to the registration statement and related prospectus (collectively, the “Registration Statement”) issued in connection with Missfresh’s June 2021 initial public offering (the “IPO” or “Offering”). The lawsuit was filed in the United States District Court for the Eastern District of New York and alleges violations of the Securities Exchange Act of 1933.  Missfresh purports to be an innovator and leader in China’s neighborhood retail industry which invented the Distributed Mini Warehouse (DMW) model to operate an integrated online-and-offline on-demand retail business focusing on offering fresh produce and fast-moving consumer goods (FMCGs).     On or about June 8, 2021, Missfresh filed with the SEC a Registration Statement on Form F-1, which in combination with a subsequent amendment on Form F-1/A and filed pursuant to Rule 424(b)(4), would be used for the IPO.  On June 23, 2021, Missfresh filed with the SEC its final prospectus for the IPO on Form 424B4 (the “Prospectus”), which forms part of the Registration Statement. In the IPO, Missfresh sold approximately 21 million American Depositary Shares (“ADSs”) at $13.00 per ADS.  Plaintiff alleges that Defendants’ statements in the Registration Statement were materially false and misleading when made because: (1) Missfresh provided false financial figures in its Registration Statement; (2) Missfresh would need to amend its financial figures; (3) Missfresh, among other things, had lesser net revenues for the quarter ended March 31, 2021; and (4) as a result, Defendants’ public statements were materially false and misleading at all relevant times and negligently prepared.  On April 29, 2022, after trading hours, Missfresh filed with the SEC a Notification of Late Filing on Form 12b-25 which announced, among other things, that the independent Audit Committee of the Company’s board of directors, with the assistance of professional advisors, “[wa]s in the process of conducting an internal review of certain matters, including those relating to transactions between the Company and certain third-party enterprises.”   On this news, Missfresh ADSs fell 13% to close at $0.448 per ADS on May 2, 2021.  Then, on May 24, 2022, Missfresh disclosed that the Company was unable to file its 2021 Annual Report by the extended deadline, ""primarily because the Company is unable to complete the audit of the financial statements of the Company for the fiscal year ended December 31, 2021"". On this news, Missfresh's ADSs fell $0.018 per share, or 9.7%, over the following two trading days, to close at $0.167 per ADS on May 26, 2022.  Finally, on July 1, 2022, Missfresh issued a press release entitled ""Missfresh Announces the Substantial Completion of the Audit Committee-Led Independent Internal Review"" which disclosed, among other things, that the Company's review ""identified certain transactions . . . that exhibit characteristics of questionable transactions, such as undisclosed relationships between suppliers and customers, different customers or suppliers sharing the same contact information, and/or lack of supporting logistics information"" and that consequently, ""certain revenue associated with those reporting periods in 2021 may have been inaccurately recorded in the Company's financial statements.""  Since the IPO, the price of Missfresh's ADSs has fallen over 97%, closing at $0.3075 per ADS on July 6, 2022.  If you wish to serve as lead plaintiff, you must move the Court no later than September 12, 2022. A lead plaintiff is a representative party acting on behalf of other class members in directing the litigation. Your ability to share in any recovery doesn’t require that you serve as lead plaintiff. If you choose to take no action, you may remain an absent class member.  If you purchased or otherwise acquired MF securities, and/or would like to discuss your legal rights and options please visit Missfresh Limited Shareholder Class Action Lawsuit or contact Peter Allocco at (212) 951-2030 or pallocco@bernlieb.com.  Since 1993, Bernstein Liebhard LLP has recovered over $3.5 billion for its clients. In addition to representing individual investors, the Firm has been retained by some of the largest public and private pension funds in the country to monitor their assets and pursue litigation on their behalf. As a result of its success litigating hundreds of lawsuits and class actions, the Firm has been named to The National Law Journal’s “Plaintiffs’ Hot List” thirteen times and listed in The Legal 500 for ten consecutive years.  ATTORNEY ADVERTISING. © 2022 Bernstein Liebhard LLP. The law firm responsible for this advertisement is Bernstein Liebhard LLP, 10 East 40th Street, New York, New York 10016, (212) 779-1414. Prior results do not guarantee or predict a similar outcome with respect to any future matter.  Contact Information:  Peter AlloccoBernstein Liebhard LLPhttps://www.bernlieb.com(212) 951-2030pallocco@bernlieb.com  ",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,MISSFRESH LIMITED (NASDAQ: MF) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Missfresh Limited (NASDAQ: MF) ,"[Missfresh Limited, Missfresh Limited Shareholder Class Action Lawsuit, GLOBE NEWSWIRE, Missfresh Limited, the “Company, NASDAQ, the “Registration Statement, Missfresh, the Securities Exchange Act, DMW, Missfresh, SEC, Missfresh, SEC, the Registration Statement, Missfresh, American Depositary Shares, ADS, Defendants, Registration Statement, Missfresh, Defendants, Missfresh, SEC, Audit Committee of the Company’s, Missfresh, ADS, Missfresh, Company, Company, the Company for the fiscal year ended December 31, 2021, Missfresh, ADS, Missfresh, Company, Company, Missfresh, ADS, Court, MF, Missfresh Limited Shareholder Class Action Lawsuit, The National Law Journal’s],[MISSFRESH LIMITED, NASDAQ]",https://www.globenewswire.com/news-release/2022/07/19/2482140/0/en/MISSFRESH-LIMITED-NASDAQ-MF-SHAREHOLDER-CLASS-ACTION-ALERT-Bernstein-Liebhard-LLP-Reminds-Investors-of-the-Deadline-to-File-a-Lead-Plaintiff-Motion-in-a-Securities-Class-Action-Law.html
"Did you lose money on investments in Molecular Partners? If so, please visit Molecular Partners AG Shareholder Class Action Lawsuit or contact Peter Allocco at (212) 951-2030 or pallocco@bernlieb.com to discuss your rights.  NEW YORK, July  19, 2022  (GLOBE NEWSWIRE) -- Bernstein Liebhard LLP, a nationally acclaimed investor rights law firm, reminds investors of the deadline to file a lead plaintiff motion in a securities class action lawsuit that has been filed on behalf of investors who purchased or otherwise acquired: (a) Molecular Partners AG (“Molecular Partners” or the “Company”) American Depositary Shares (“ADSs”) pursuant and/or traceable to the Offering Documents issued in connection with the Company’s initial public offering conducted on or about June 16, 2021 (the “IPO”); and/or (b) Molecular Partners securities between June 16, 2021 and April 26, 2022, both dates inclusive (the “Class Period”). The lawsuit was filed in the United States District Court for the Southern District of New York and alleges violations of the Securities Act of 1933 and Securities Exchange Act of 1934.  Molecular Partners operates as a clinical-stage biopharmaceutical company that focuses on the discovery, development, and commercialization of therapeutic proteins. Leading up to and following the IPO, the Company repeatedly touted the clinical and commercial prospects of certain of its product candidates under development in collaboration with other companies.  Among other product candidates, Molecular Partners is developing ensovibep as a treatment for COVID-19 in collaboration with Novartis AG (“Novartis”). One of the Company’s most important development strategies for ensovibep includes securing Emergency Use Authorization (“EUA”) for ensovibep from the U.S. Food and Drug Administration (“FDA”).  In addition, Molecular Partners is developing MP0310 (AMG 506) for the treatment of certain types of cancer in collaboration with Amgen Inc. (“Amgen”). The Company granted Amgen, among other licenses, the right to progress MP0310’s development program into later stage development, including into combination trials, following Phase 1 data.  On April 22, 2021, Molecular Partners filed a registration statement on Form F-1 with the SEC in connection with the IPO, which, after several amendments, was declared effective by the SEC on June 15, 2021 (the “Registration Statement”). Then, on June 16, 2021, the Company filed a prospectus on Form 424B4 with the SEC in connection with the IPO, which incorporated and formed part of the Registration Statement (collectively, the “Offering Documents”).  Pursuant to the Offering Documents, Molecular Partners conducted the IPO, issuing 3 million of its ADSs to the public at the IPO price $21.25 per ADS, for proceeds to the Company of over $59 million.  Plaintiff alleges that Defendants’ statements in the Offering Documents were materially false and misleading when made because Defendants failed to disclose that: (i) ensovibep was less effective at treating COVID-19 than Defendants had led investors to believe; (ii) accordingly, the FDA was reasonably likely to require an additional Phase 3 study of ensovibep before granting the drug EUA; (iii) waning global rates of COVID-19 significantly reduced the Company’s chances of securing EUA for ensovibep; (iv) as a product candidate, MP0310 was less attractive to Amgen than Defendants had led investors to believe; (v) accordingly, there was a significant likelihood that Amgen would return global rights of MP0310 to Molecular Partners; (vi) as a result of all the foregoing, the clinical and commercial prospects of ensovibep and MP0310 were overstated; and (vii) as a result, the Offering Documents and Defendants’ public statements throughout the Class Period were materially false and/or misleading and failed to state information required to be stated therein.  On November 16, 2021, Molecular Partners disclosed that “a planned futility analysis of ensovibep in [an] ongoing [Phase 3] clinical study . . . has not met the thresholds required to continue enrollment of adults with COVID-19 in the hospitalized setting.” On this news, Molecular Partners’ ADS price fell $4.64 per ADS to close at $10.15 per ADS on November 16, 2021.  Then, on April 26, 2022, months after applying for EUA from the FDA for ensovibep, Novartis’ Chief Executive Officer, Vas Narasimhan, disclosed that “given the latest feedback . . . in our discussions with the [FDA], we would expect the agency to require a Phase 3 study before granting an EUA approval or a general approval” for ensovibep, and that “we need to make a kind of sober evaluation as to is it a doable study in light of the waning rates of COVID around the world[.]”  On this news, Molecular Partners’ ADS price fell $2.68 per ADS to close at $13.89 per ADS on April 26, 2022.  Also on April 26, 2022, during after-market hours, Molecular Partners “announced that Amgen . . . has informed the Company of their decision to return global rights of MP0310 to Molecular Partners following a strategic pipeline review.”  On this news, Molecular Partners’ ADS price fell an additional $5.19 per ADS to close at $8.70 per ADS on April 27, 2022 — a total decline of $7.87 per ADS, or 47.5%, over two consecutive trading days, and 59.06% below the $21.25 per ADS IPO price.  If you wish to serve as lead plaintiff, you must move the Court no later than September 12, 2022. A lead plaintiff is a representative party acting on behalf of other class members in directing the litigation. Your ability to share in any recovery doesn’t require that you serve as lead plaintiff. If you choose to take no action, you may remain an absent class member.  If you purchased or otherwise acquired MOLN ADSs or securities, and/or would like to discuss your legal rights and options please visit Molecular Partners AG Shareholder Class Action Lawsuit or contact Peter Allocco at (212) 951-2030 or pallocco@bernlieb.com.  Since 1993, Bernstein Liebhard LLP has recovered over $3.5 billion for its clients. In addition to representing individual investors, the Firm has been retained by some of the largest public and private pension funds in the country to monitor their assets and pursue litigation on their behalf. As a result of its success litigating hundreds of lawsuits and class actions, the Firm has been named to The National Law Journal’s “Plaintiffs’ Hot List” thirteen times and listed in The Legal 500 for ten consecutive years.  ATTORNEY ADVERTISING. © 2022 Bernstein Liebhard LLP. The law firm responsible for this advertisement is Bernstein Liebhard LLP, 10 East 40th Street, New York, New York 10016, (212) 779-1414. Prior results do not guarantee or predict a similar outcome with respect to any future matter.  Contact Information:  Peter AlloccoBernstein Liebhard LLPhttps://www.bernlieb.com(212) 951-2030pallocco@bernlieb.com",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,MOLECULAR PARTNERS AG (NASDAQ: MOLN) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Molecular Partners AG (NASDAQ: MOLN),"[Molecular Partners, Molecular Partners AG, GLOBE NEWSWIRE, Molecular Partners AG, the “Company, American Depositary Shares, the Offering Documents, the “Class Period, Molecular Partners, Novartis AG, the U.S. Food and Drug Administration, Molecular Partners, Amgen Inc., Amgen, Company, Amgen, MP0310, Molecular Partners, SEC, SEC, Company, SEC, the Registration Statement, the “Offering Documents, the Offering Documents, Molecular Partners, ADS, Defendants, Defendants, FDA, EUA, COVID-19, Company, Amgen than Defendants, Amgen, Molecular Partners, the Offering Documents, Molecular Partners, ADS, ADS, EUA, FDA, Novartis, FDA, EUA, ADS, ADS, Molecular Partners, Amgen, Molecular Partners, ADS, ADS, ADS, ADS, Court, Molecular Partners AG, The National Law Journal’s],[MOLECULAR PARTNERS AG, NASDAQ, NASDAQ]",https://www.globenewswire.com/news-release/2022/07/19/2482144/0/en/MOLECULAR-PARTNERS-AG-NASDAQ-MOLN-SHAREHOLDER-CLASS-ACTION-ALERT-Bernstein-Liebhard-LLP-Reminds-Investors-of-the-Deadline-to-File-a-Lead-Plaintiff-Motion-in-a-Securities-Class-Acti.html
"    …  about going public, and initial public offerings (ipos) have plunged.   investment bankers …  current state of the ipo market and what to …  year.     ipos were down over 90%   ipo activity was on … grocery chain, have pulled their ipo filings altogether.     zopa,  … ",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,Initial Public Offerings Have Plunged: Here's What We Learned from Morgan Stanley,"[],[Initial Public Offerings Have Plunged, Morgan Stanley]",https://www.fool.com/investing/2022/07/19/initial-public-offering-ipo-plunged-morgan-stanley/?source=iedfolrf0000001
"    …  down nearly 70% since its ipo a year ago?   revenues are …  down nearly 70% since its ipo last july    rising interest rates …  from transferwise ahead of its initial public offering, was founded in 2011 by …  68 per cent since its ipo.   revenues hit £186m as wise … ",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,Wise surges 15% after revenues rise - but why are shares down nearly 70% since its IPO a year ago?,"[],[]",https://www.thisismoney.co.uk/money/markets/article-11028427/Why-Wise-shares-70-IPO-year-later.html
    … sftby sftbf arm ltd london initial public offering ambitions as it hit the … who were instrumental in the ipo plans.    also read: qualcomm  … in arm ltd in impending ipo   the political disruption could  … retail investors to buy into ipos. a source said that softbank … ,19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,UK's Political Turmoil Tilted Scales For Arm IPO Towards US: FT,"[],[]",https://www.benzinga.com/government/22/07/28110198/uks-political-turmoil-tilted-scales-for-arm-ipo-towards-us-ft
" …  has again delayed its domestic initial public offering (ipo) of up to us$500 … . fundraising from southeast asian ipos has halved to us$3 …  the amount raised from malaysian ipos has, however, risen 37%  … , with the number of ipos increasing to 21 from 17 …",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,QSR’s IPO of up to US$500m said to be delayed – again,"[],[QSR]",https://www.thesundaily.my/business/qsr-s-ipo-of-up-to-us-500m-said-to-be-delayed-again-BA9471740
"    …  a wave of digital-health ipos.   a little more than a …  put its plans for an initial public offering on hold, duffy said, opting …  omada gear up for an ipo, netted the startup $192 million …  than $1 billion.   ""an ipo is a great destination. it … ",19/Jul/2022 00:00:00,20/Jul/2022 14:34:08,See the presentation Omada Health used to raise $192 million to gear up for an IPO,"[],[Omada Health]",https://www.businessinsider.com/omada-health-pitch-deck-raise-192-million-2022-7
