,title,link,publish_date,scraped_date,text
0,"Entering the Building Period, Toba Surimi Industries (CRAB) Offers IPO Price of Rp 100-Rp 150",https://investasi.kontan.co.id/news/masuk-masa-building-toba-surimi-industries-crab-tawarkan-harga-ipo-rp-100-rp-150,2022-07-20,2022-07-20,"Reporter: Yuliana Hema | Editor: Tendi Mahadi KONTAN.CO.ID -JAKARTA. The initial public offering (IPO) season is back in full swing. This time, the Indonesia Stock Exchange (IDX) will welcome a prospective issuer of fishery products producer PT Toba Surimi Industries Tbk. Taking a peek at the prospectus, the prospective issuer that will use the stock code CRAB offers a maximum of 390 million shares with a nominal value of Rp 50. This value is equivalent to 20% of the issued and fully paid capital after the IPO. Of the total shares offered, Toba Surimi set the initial offering price in the range of Rp. 100 to Rp. 150. Thus, CRAB has the potential to pocket IPO funds of Rp. 39 billion to Rp. 58 billion. To launch its action to take the floor on the IDX, Toba Surimi collaborated with PT KGI Sekuritas as the implementing guarantor for the issuance of securities. Also Read: Want to IPO, Estee Gold Feet (EURO) Market Offer Price of Rp 60-Rp 70 Per Share It is planned that around 94.53% of the funds obtained from the IPO after deducting issuance costs will be used for working capital. Including the purchase of raw materials, supporting materials, salaries and allowances as well as other operational costs. Then, around 5.47% will be used for capital expenditure or CRAB's capital expenditure (capex) for production capacity expansion by procuring 5 units of ships. Meanwhile, CRAB recorded sales of Rp 135.59 billion in the first quarter of 2022. This achievement jumped 21.70% from Rp 111.41 billion in the first quarter of 2021. Meanwhile, at the end of 2021, Toba Surimi managed to record sales of Rp. 658.76 billion or grew 37.89% from Rp. 477.72 billion at the end of 2020. From the bottom line, CRAB's profit for the year was Rp. 7.28 billion as of December 31, 2021. Meanwhile, the profit for the current period in the first quarter of this year reached Rp 2.92 billion. Next up: 6 Symptoms of Kidney Stones that You Must Know Check News and other articles on Google News"
1,"Want to IPO, Estee Gold Feet (EURO) Market Offer Price Rp 60-Rp 70 Per Share",https://investasi.kontan.co.id/news/mau-ipo-estee-gold-feet-euro-pasar-harga-penawaran-rp-60-rp-70-per-saham,2022-07-20,2022-07-20,"Reporter: Yuliana Hema | Editor: Tendi Mahadi KONTAN.CO.ID - JAKARTA. A prospective non-cyclical issuer, PT Estee Gold Feed Tbk (EURO) is ready to take the floor on the Indonesia Stock Exchange through an initial public offering (IPO). The company, which is engaged in cosmetic aerosol filling services and household cleaning materials, offers a maximum of 500 million shares. This value is equivalent to 20% of the Company's issued and paid-up capital after the IPO. The shares are new shares issued from the portfolio with a nominal value of Rp 5 per share. Of the total shares, Estee Gold Feed offers an IPO price in the range of Rp 60 to Rp 70 per share. Thus, EURO has the potential to reap fresh funds of up to Rp 35 billion. Read also: Kusuma Kemindo Sentosa (KKES) Targets IPO Funds of Up to IDR 58.5 Billion Not only that, EURO also issues a maximum of 500 Series I Warrants, equivalent to 25% of the total shares that have been assigned and fully paid. These warrants will be given free of charge to shareholders whose names are recorded in the Register of Shareholders on the Allotment Date. Later, each holder of 1 (one) new share of Estee Gold Feed will be entitled to 1 (one) Series I Warrant. /opex). In its IPO celebration, Estee Gold Feed appointed PT Danatama Makmur Sekuritas to act as the underwriter. Next up: Facebook, WhatsApp, Instagram, Netflix Already Registered PSE, Google, YouTube Haven't Checked Other News and Articles on Google News"
2,Kusuma Kemindo Sentosa (KKES) Targets IPO Funds Up To IDR 58.5 Billion,https://investasi.kontan.co.id/news/kusuma-kemindo-sentosa-kkes-membidik-dana-ipo-hingga-rp-585-miliar,2022-07-20,2022-07-20,"Reporter: Akhmad Suryahadi | Editor: Wahyu T. Rahmawati KONTAN.CO.ID - JAKARTA. The process of the initial public offering (IPO) of PT Kusuma Kemindo Sentosa Tbk continues. The prospective issuer, which will use the KKES stock code, is holding an initial offering (bookbuilding) from July 19 to July 27, 2022. KKES will release a maximum of 450 million shares to the public. This amount is equivalent to 27.27% of the issued and fully paid capital after the IPO. KKES set an offering price in the range of Rp 100-Rp 130 per share. In this way, KKES has the potential to obtain fresh funds of up to IDR 58.5 billion. In this IPO celebration, KKES appointed PT Mirae Asset Sekuritas Indonesia as underwriter. Kusuma Kemindo also implemented an employee stock allocation (ESA) program with a maximum of 2.5% of the total offered in the IPO or a maximum of 11.25 million shares. Also read: Kusuma Kemindo Sentosa (KKES) IPO Enters Bookbuilding Period Referring to the prospectus, about 30% of the IPO funds will be used by Kusuma Kemindo for operational costs such as salaries, transportation costs, office costs, sales costs and others. Approximately 65% ​​for the purchase of merchandise, payment of trade payables to suppliers. The remaining 5% will be used for the development of information systems and technology including the digitalization of IT systems for sales, delivery, inventory and logistics. Just so you know, the company which was founded in 1990 is a subsidiary of PT Catur Sentosa Adiprana Tbk (CSAP), an issuer engaged in the distribution of building materials and consumer goods, as well as modern retail of building materials and home improvement Mitra10. Also Read: BEI Still Has 37 Companies in the IPO Pipeline KKES is active as an importer, stockist & distribution of commodity and specialty chemicals, food, construction chemicals and related materials. Kusuma Kemindo currently operates a business in the wholesale trade of basic chemical materials and goods, wholesale trade in various kinds of building materials and wholesale trade in machinery, equipment and other equipment. KKES currently serves sales through its offices located in Jakarta, Bandung, Semarang, and Surabaya. KKES serves more than 2,300 customers supported by more than 9 principals who provide a single agency, more than 12 principals who have been appointed as official distributors, and more than 15 principals who provide support supply so far. Currently KKES has distributed more than 1,000 products. KKES plans to expand new branches in West Java and Central Java, including digitizing sales service and inventory control processes. Next: Check out 7 Ways to Maintain Heart Health that You Need to Know Check News and other articles on Google News"
3,Habco Trans Maritima Ready to IPO with a Target of IDR 350 Billion in Funds,https://investasi.kontan.co.id/news/habco-trans-maritima-siap-ipo-dengan-target-perolehan-dana-rp-350-miliar,2022-07-20,2022-07-20,"Reporter: Ika Puspitasari | Editor: Wahyu T. Rahmawati KONTAN.CO.ID - JAKARTA. PT Habco Trans Maritima Tbk (HATM), a company engaged in sea transportation services, has officially received a notification letter of the effectiveness of the Registration Statement from the Financial Services Authority (OJK) to conduct an Initial Public Offering. This letter was effectively issued by OJK on July 18, 2022 No.S-128/D.04/2022. HATM President Director Andrew Kam revealed that the registration statement process for PT Habco Trans Maritima Tbk. has been effective according to the letter we have received from OJK on July 18, 2022. The maximum total public offering is IDR 350 billion. Andrew said his party was ready to conduct an initial public offering (IPO) by releasing HATM shares to the Indonesia Stock Exchange (IDX) floor as much as 1.11 billion new shares, or equivalent to 16.65% of the issued and fully paid capital by Habco Trans at an exercise price. stipulated for HATM shares is Rp 160 per share. In addition, based on the board of directors' decision on March 31, 2022, Habco Trans decided to hold an employee stock allocation (ESA) program of 0.25% of the shares offered in the public offering or 2.8 million shares. Also Read: BEI Still Bags 37 Companies In IPO Pipeline Then this prospective issuer will also issue new shares of 281.25 million common shares on behalf of, in the context of carrying out the conversion of the implementation of the conversion of a debt agreement worth Rp45 billion with PT Samudra Sejahtera Investama which was carried out together with a public offering, at the conversion exercise price according to the Offer Price and will be distributed after the allotment date. ""We are committed to improving the company's performance, where all of the funds we get will be used to purchase new bulk carrier vessels to support the company's business activities. The purchase of the new fleet is in line with the increasing market demand for the transportation services we offer,"" said Andrew in a press release, Wednesday (20/7). For information, PT Habco Trans Maritima Tbk is a company that specializes in bulk carrier ship operations. PT HATM itself is a subsidiary of PT Habco Primatama which has been established since 1991 and is part of an integrated maritime solution. Habco Group's services focus on maritime logistics including but not limited to barge, stevedoring, floating crane, docking, and shipbuilding. Also Read: Busy Pipelines, Here Are Prospective Issuers Recommended by Analysts “Currently HATM is supported by three fleets of bulk carriers with positive growth every year. In 2021, HATM managed to make an operating income of Rp. 252 billion and an operating profit of Rp. 90.1 billion,” said Andrew. The IPO process was carried out by HATM after receiving a notification letter of the effectiveness of the Registration Statement from the Financial Services Authority (OJK) dated July 18, 2022. The Initial Public Offering Period starts on July 20-22, 2022. Then the Allotment date on July 22, 2022, date Distribution on July 24, 2022, and the last listing date on the Indonesia Stock Exchange on July 26, 2022. “We are optimistic that the public will positively welcome HATM's presence on the Indonesia Stock Exchange. In addition, we also believe that through improving the positive performance that we make every year, we will also make a real contribution to Indonesia, especially in logistics services,"" concluded Andrew. Next up: Watch Overlord Season 4 Episode 3, Streaming Official Indo Sub on iQIYI, Bstation, etc. Check other news and articles on Google News"
4,"Tera Data Indonusa (AXIO) Officially IPO, Stocks stuck ARA",https://investasi.kontan.co.id/news/tera-data-indonusa-axio-resmi-ipo-sahamnya-mentok-ara,2022-07-20,2022-07-20,"Reporter: Akhmad Suryahadi | Editor: Wahyu T. Rahmawati KONTAN.CO.ID - JAKARTA. PT Tera Data Indonusa Tbk was officially listed on the Indonesia Stock Exchange (IDX) on Wednesday (20/7/). This company which is engaged in the wholesale trading of computers and computer equipment uses the stock code AXIO. In its initial stock trading, AXIO's shares soared 35% to the level of Rp. 189. AXIO was hit by auto rejection of the alias ARA. In the event of an initial public offering (IPO), AXIO released a total of 1.04 billion shares to the public. The number of shares offered is equivalent to 17.81% of the issued and fully paid capital. Read also: Tera Data Indonusa (AXIO) Posts IPO Price of Rp. 140, This is the Plan to Use the Funds. The IPO price offered by the Axioo brand laptop manufacturer is Rp. 140 per share. So, in this IPO celebration, AXIO received fresh funds of Rp. 145.617 billion. “Investors are very enthusiastic about AXIO shares. This can be seen from the high interest during the supply period, resulting in 78 times of excess demand or oversubscribed,” said AXIO President Director, Michael Sugiarto, Wednesday (20/7). The proceeds from the IPO shares will be used for a number of purposes. Around 90% will be used for working capital (working capital) to support increased sales in the form of purchasing raw materials for components and spare parts for the Company's products, which include LCD, motherboard, SSD, RAM, and others. Also Read: Observing New IDX Prospective Issuers In addition, it will be used to finance trade receivables, improve the quality of human capital development through development through internal and external training and development of distribution channels through marketing personnel and expansion of service center coverage in the marketing area. The remaining 10% will be used for capital expenditures (capital expenditure), among others, for the expansion of the warehouse and production area located at the current factory and the purchase of production support equipment. The tools purchased are conveyor lines, forklifts, racking management, as well as machines in the form of surface mounting technology (SMT) for motherboard production and development support tools in the form of production test kits (quality control kit). This purchase is intended to meet the increasing demand and sales volume in 2022 and in the future and to increase efficiency and optimize AXIO's production process. Next up: Japan to Hold State Funeral for Former PM Abe on 27 September 2022 Check out other news and articles on Google News"
5,IDX Still Has 37 Companies in IPO Pipeline,https://investasi.kontan.co.id/news/bei-masih-mengantongi-37-perusahaan-dalam-pipeline-ipo,2022-07-20,2022-07-20,"Reporter: Akhmad Suryahadi | Editor: Wahyu T. Rahmawati KONTAN.CO.ID - JAKARTA. The domestic initial public offering (IPO) is still lively. The Indonesia Stock Exchange (IDX) stated that there are still 37 companies in the stock listing pipeline that are ready to offer their shares to the public. Director of Corporate Valuation of the Indonesia Stock Exchange I Gede Nyoman Yetna Setia detailed that as many as nine companies that will be listed on the Exchange are from the primary consumer goods sector. , followed by eight companies from the non-primary consumer goods sector, five companies from the transportation and logistics sector, and three companies operating in the technology sector. Furthermore, as many as three companies came from the infrastructure sector, two companies from the raw goods sector, two companies from the industrial sector, two companies from the health sector, two companies from the energy sector, and one company from the property and real estate sector. Read also: Here's the Prospect of Stocks whose Prices Soared and Dropped After the IPO Nyoman added, there is one prospective listed company currently in the pipeline for listing shares which are affiliates of State-Owned Enterprises (BUMN). The stock market authority certainly welcomes SOEs and subsidiaries to be able to conduct an IPO and become a listed company on the IDX. The Exchange is also happy to provide support to SOEs and subsidiaries to obtain information related to the IPO with a series of educational/assistance activities for the management and company team. ""We hope that many SOEs and subsidiaries will take advantage of the Indonesian capital market and conduct IPOs this year and next year,"" said Nyoman to reporters, Tuesday (19/7) night. Read also: Segar Kumala Indonesia (BUAH) Targets IDR 80 Billion of Fresh Funds from IPO Until July 19, 2022, Nyoman said there were 26 companies that had listed their shares on the Indonesia Stock Exchange with a total fund raised of IDR 19.2 trillion. Nyoman welcomes the enthusiasm of the owners and founders of companies from various business sectors and sizes to conduct an IPO and choose the Indonesian capital market as their house of growth. This is reflected in the achievement of IPOs on the IDX in 2020 and 2021, which reached 51 companies and 54 companies, respectively. Also Read: Habco Trans Maritima Offers IPO Price of IDR 160 Per Share The allure of the Indonesian stock market has not faded. IDX became the Exchange with the largest number of IPO shares and became the first Exchange to list shares of unicorn companies in the ASEAN region. In addition, the value of funds collected (fundraised) of IDR 62.6 trillion from the new listing of shares on the IDX in 2021 is the highest for an exchange in the ASEAN region. ""This achievement is also inseparable from the support and policies of the government, the Financial Services Authority (OJK), IDX, and other self-regulatory organizations (SROs) in order to create conducive capital market conditions in this dynamic period,"" concluded Nyoman. Next up: Looking at the Government's Reasons for Pushing the Establishment of the Oil and Gas Sector Endowment Fund Check other news and articles on Google News"
6,Segar Kumala Indonesia (BUAH) Targets IDR 80 Billion Fresh Funds from IPO,https://investasi.kontan.co.id/news/segar-kumala-indonesia-buah-membidik-dana-segar-rp-80-miliar-dari-ipo,2022-07-20,2022-07-20,"Reporter: Yuliana Hema | Editor: Wahyu T. Rahmawati KONTAN.CO.ID - JAKARTA. The Indonesia Stock Exchange is back with the presence of a new prospective issuer from the non-cyclical consumer sector, namely PT Segar Kumala Indonesia Tbk which will release 200 million shares or 20% of paid-in capital through an initial public offering. Based on the company's initial prospectus, the issuer, which will use the ticker BUAH, will set an initial offering price in the range of Rp 350 per share to Rp 400 per share. Thus, this fruit supply company has the potential to reap fresh funds of between Rp. 70 billion to Rp. 80 billion through an initial public offering (IPO). Also Read: Here's the Prospect of Stocks whose Prices Soared and Dropped After the IPO Around 75% of the funds obtained from this IPO, after deducting the issuance costs, will be used for working capital. This includes paying trade debts, purchasing merchandise and operating activities. Then, around 25% will be used to open new BUAH branches to reach areas that have not been reached but have business potential, namely Banda Aceh, Kendari and Palu. Not only that, Segar Kumala Indonesia has also built cold storage warehouses in the three areas to serve as temporary product retrieval and storage places. Also Read: Stocks Rise or Fall, the Securities Business Still Shines If the funds from the IPO are not sufficient to meet these needs, then BUAH will use the company's internal cash or use external funding. A little illustration, Segar Kumala Indonesia was established in 2017 which started a trading and distribution business of fresh fruits in Jakarta and surrounding areas under the SK brand. Next up: Cimory Dairyland Puncak, Europe's Vibes Amusement Park in Bogor Check other news and articles on Google News"
7,Habco Trans Maritima Offers IPO Price of IDR 160 Per Share,https://investasi.kontan.co.id/news/habco-trans-maritima-tawarkan-harga-ipo-rp-160-per-saham,2022-07-20,2022-07-20,"Reporter: Ridwan Nanda Mulyana | Editor: Tendi Mahadi KONTAN.CO.ID - JAKARTA. PT Habco Trans Maritima Tbk plans to be listed on the Indonesia Stock Exchange (IDX) on July 26, 2022. Companies engaged in domestic sea transportation for this particular item will use the issuer code HATM. In this initial public offering (IPO), Habco Trans will conduct a public offering of 1,118,750,000 shares, equivalent to 16.65% of the issued and fully paid capital. Referring to additional information and/or amendments to the summary prospectus, the offering price is set at Rp 160 per share. With this offer price, the estimated total value of the public offering is Rp 179 billion. ""All proceeds from this initial public offering, after deducting emission costs, will be used to purchase a new fleet of bulk carriers to support the company's business activities,"" citing a brief prospectus, Tuesday (19/7). Also Read: After the IPO, Chemstar (CHEM) Expands the Market to the Cosmetics and F&B Segment Along with the public offering, Habco Trans Maritima will issue a maximum of 281.25 million new shares. As the implementation of debt conversion agreement (debt conversion) worth Rp 45 billion with PT Samudra Sejahtera Investama (PT SSI). This process will be carried out simultaneously with the initial public offering of Habco Trans Maritima, at the conversion price according to the offering price and will be distributed after the allotment date. The total percentage of shares after adding the results of the conversion is 20% of the issued and fully paid capital after the public offering and the Employee Stock Allocation (ESA) program of 0.26%. For information, the main business activity of Habco Trans Maritima is to carry out the business of transporting goods using ships specifically designed to transport certain types of goods. Includes transportation of dangerous goods, waste of hazardous and toxic materials, fuel oil, petroleum, processed products, LPG, LNG and CNG, fish and the like, including sea transportation rental businesses and their operators. Read also: Listening to Dewi Shri Farmindo's (DEWI) Business Development Plan After the IPO In this Habco Trans Maritima IPO, PT NH Korindo Sekuritas Indonesia acts as the underwriter and underwriter. The implementation schedule is as follows: Effective date: 18 July 2022 Initial public offering period: 20 July - 22 July 2022 Allotment date: 22 July 2022 Distribution date: 25 July 2022 Listing date on the Indonesia Stock Exchange: 26 July 2022. Next: 5 Sports Injuries That Often Occur and Should Be Watched For Check News and Other Articles on Google News"
8,Klinko Karya Imaji (KLIN) IPO Funds Will be Used for Expansion and Working Capital,https://investasi.kontan.co.id/news/dana-ipo-klinko-karya-imaji-klin-bakal-dipakai-ekspansi-dan-modal-kerja,2022-07-20,2022-07-20,"Reporter: Avanty Nurdiana | Editor: Avanty Nurdiana KONTAN.CO.ID - JAKARTA. Environmentally friendly cleaning equipment manufacturer PT Klinko Karya Imaji Tbk (KLIN) is offering an initial public offering (IPO). The company issued 230 million new shares equivalent to 17.59% of the issued and fully paid capital after the public offering. KLIN sets a nominal value of Rp 10 per share in the offering price range between Rp 90 - Rp 100 per share. So that this prospective issuer has the potential to pocket funds of Rp. 20.7 billion to Rp. 23 billion. For information, 40% of the proceeds from the IPO will be used to build the head office, production area, and raw material warehouse. Approximately 38.75% for capital expenditures such as the addition of production facilities and assets such as machines, box cars, operational cars, and office equipment. Then, about 21.25% is for working capital purposes in order to purchase raw materials to support the production process and marketing activities. Also Read: Cleaning Equipment Manufacturer Klinko Will Enter the Exchange, Offering 230 Million Shares From the manufacturing process, the company from Gresik, East Java claims its products are environmentally friendly and have a long-term service life. The reason is, in processing each product, KLIN is able to absorb as much as 120 tons of textile waste per month. The waste in the form of pieces of patchwork is then reprocessed into cotton material and spun back into yarn before being processed into products such as floor mats, mops, lobby dusters, and napkins. KLIN President Director Anggun Supanji in a release stated, by becoming a public company, KLIN can continue to maintain its commitment to providing quality and international standard cleaning products that are trusted by national and international consumers. ""From the company's data, we assess that KLIN has the potential to expand its business on a national and global scale. Because the entire production process of KLIN has supported the formation of a green environment, including by developing an ecosystem that focuses on Reuse, Reduce, Recycle (3R),"" said Effendi Irawan, President Director of PT Elite Sukses Sekuritas. PT Elit Sukses Sekuritas is a company that acts as the underwriter for the issuance of securities. ""The company has now penetrated the export market to seven countries in Southeast Asia, the United States, Europe and Latin America with private label products,"" said Effendi. Also Read: Looking at the Prospects of Stocks whose Prices are Burning and Desperate After the IPO in 2022 For those who are interested in buying KLIN IPO shares, please refer to the schedule as follows:       Initial offering period: 20-25 July 2022       Estimated effective date: 29 July 2022 ●       Estimated offering period General: August 2-5 2022        Estimated date of allotment: August 5, 2022        Estimated date of distribution of shares electronically: August 8, 2022        Estimated date of listing on the Indonesia Stock Exchange: August 9 2022    Not only that,  KLIN admits that they are quite enthusiastic in carrying out each due process diligence determined by the Financial Services Authority (OJK) and the Indonesia Stock Exchange (IDX). ""We really appreciate the support from OJK and IDX who are very accommodating in guiding companies to take the IPO route,"" said Anggun. During the initial public offering, KLIN will provide series I warrants free of charge to new shareholders whose names are recorded in the Register of Shareholders on the allotment date. For this reason, KLIN will issue a maximum of 57.5 million Series I warrants, with an exercise price of Rp 100 warrants. Also Read: Bangun Karya Perkasa Jaya Sets IPO Price of Rp 125 Per Share Next: JCI Strengthened Yesterday, This is Stock Recommendation for Wednesday Trading (20/7) Check other news and articles on Google News"
9,Looking at the Prospects of Stocks whose prices are burning and languishing after the IPO in 2022,https://investasi.kontan.co.id/news/menilik-prospek-saham-yang-harganya-membara-dan-merana-pasca-ipo-di-2022,2022-07-20,2022-07-20,"Reporter: Ridwan Nanda Mulyana | Editor: Herlina Kartika Dewi KONTAN.CO.ID - JAKARTA. The company's enthusiasm for listing on the Indonesia Stock Exchange (IDX) is still high. So far, there have been 26 new issuers that have completed their initial public offering (IPO) in 2022. The fates of these newcomers are different. There are those whose share prices soared up to 1,500%, but there are also those who languish until they are stuck at the gocap level. PT Adaro Minerals Indonesia Tbk (ADMR) has been phenomenal with price spikes that have so far held at the level of 1.580%. ADMR shares were able to rise 10.89% on Tuesday (19/7) to a price of Rp 1,680. The surge in the price of PT WIR Asia Tbk (WIRG) was no less astonishing in the early days of the IPO. The share price of the issuer that carries the development of the metaverse platform is still recorded to be up 95.04%. WIRG shot up 6.80% to the price of Rp 550 today. Read also: Holding IPO, Rohartindo Nusantara Luas (TOOL) Offers Shares at a Price of Rp 122 - Rp 135 New income from PT Dewi Shri Farmindo Tbk (DEWI) also immediately stepped on the gas. Just two days on the stock exchange, its share price has risen 69.81% to Rp 182. In contrast to fate, PT Nusatama Berkah Tbk (NTBK) is currently falling to the level of gocap shares. PT Mitra Angkasa Sejahtera Tbk (BAUT) accompanied the list of issuers with a share price of Rp 50. PT Nanotech Indonesia Global Tbk (NANO) and PT Winner Nusantara Jaya Tbk (WINR) almost followed. The share prices of NANO and WINR are compact in the area of ​​Rp 52. Although they are still far from the gocap level, a number of stocks tend to stagnate and even have a flushing trend, such as PT Adhi Commuter Properti Tbk (ADCP) and PT Semacom Integrated Tbk (SEMA). Sucor Sekuritas analyst Paulus Jimmy highlighted that the company's fundamentals and valuation are crucial factors when trading on the stock market. But there is another important thing that should not be forgotten, namely the story. Story is considered important because it relates to public interest in understanding the issuer's profile, strategy, and business prospects in the future. Therefore, Jimmy believes that not all issuers whose prices fell after the IPO have poor fundamentals and valuations. ""It could be because of the low interest of investors in the stories from these issuers. It should be understood that the story of every industry has a cycle. What is not interesting today, tomorrow could be interesting,"" said Jimmy when contacted by Kontan.co.id, Tuesday (19/7). ). Technical Analyst Binaartha Sekuritas Ivan Rosanova added that sectoral sentiment could also influence the direction of stocks after the IPO. It could be that market players relinquish ownership after the IPO because they are looking at other stocks that are considered more attractive for now. Also Read: After the IPO, Chemstar (CHEM) Expands the Market to the Cosmetics and F&B Segment. Vice versa with stocks whose prices are already burning. Considering the recent market fluctuations, in the short term there is a chance for a correction to occur. But as long as the issuer's performance and business prospects are still positive, investors tend to accumulate rather than profit taking, so the price is relatively maintained. Even so, Ivan reminded him to be careful when entering into new stocks whose prices have soared considerably. ""It's better to wait for the release of the performance, especially if the valuation is quite high, especially for stocks that have not experienced a significant correction,"" said Ivan. In the midst of a market trend that is prone to selling pressure, Ivan suggested that the portion of the investment portfolio is also directed to bigcap stocks. For now, it's best not to be aggressive while observing market developments. ""Take advantage of every rebound to get short-term profits while slowly filling the portfolio with selected stocks,"" said Ivan. Jimmy had a similar record. Jimmy suggested that investors should pay attention to market conditions which tend to be volatile this year, so don't be too aggressive towards IPO shares if you don't understand the fundamental conditions. Associate Director of Research and Investment Pilarmas Investindo Sekuritas Maximilianus Nico Demus also highlighted the high market interest in IPO shares. The attraction is, the opportunity to gain money is felt to be bigger. Also Read: Listening to Dewi Shri Farmindo's (DEWI) Business Development Plan After the IPO ""Even though no one knows when the stock will go up or down. But we can find out where it is going. What's important is how confident investors are in the stock,"" said Nico . Nico emphasized that this belief must come from careful consideration of the fundamental condition and valuation of the company, as well as the business sector that is inline with the direction of government policies or the global situation. For this year, Nico sees non-cyclical consumers, healthcare, commodities, and energy as still attractive sectors to look at. Meanwhile, MNC Sekuritas Technical Analyst Herditya Wicaksana favors the mining sector, as it is influenced by high commodity prices. ADMR shares can still be collected by observing the support at Rp. 1,455 and resistance at Rp. 1,800. Then, technically there is a chance for SEMA stock to strengthen even in the short term. You can watch the support area at Rp 176 and resistance at Rp 198. Ivan also supports ADMR shares with a target price at Rp 1,850. Furthermore, WIRG shares, which as long as they are still above the psychological level of Rp 500 have the potential to rebound. WIRG targets are at Rp 615 and Rp 680. Next: BI RDG Sentiment Affected, This is the Stock Sector That Must Be Observed Check other News and Articles on Google News"
