text,publish_date,scraped_date,title,Companies,link
"kuala lumpur: global initial public offering (ipo) saw its year-to-date ( …  postponement of many ipos. in a statement today, ey initial public offering services said …  the top ipo fundraiser, whereby among the top 10 largest ipos by …",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,"Global IPO activity falls 46 pct, proceeds shrink 58 pct ytd 2022: EY","[],[]",https://www.thesundaily.my/home/global-ipo-activity-falls-46-pct-proceeds-shrink-58-pct-ytd-2022-ey-BD9454146
"    …  its plans previously for an ipo in 2022, chinese fast-fashion …  to go public with an initial public offering (ipo) in the united states as …  be an obstacle to the ipo.   the $100 billion valuation firm …  flipkart: list of big upcoming ipos to look forward to in … ",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,"2 Years After Ban In India, Chinese Fast-Fashion Company Shein Aiming For US IPO In 2024","[],[Chinese Fast-Fashion Company Shein Aiming]",https://www.indiatimes.com/worth/news/shein-planning-for-usa-ipo-in-2024-574829.html
"    …  the first day of the initial public offering (ipo), the share of gorilla went …  solutions and services after the ipo.   gorilla's edge ai … ",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Taiwan edge AI company Gorilla Technology IPO surges 123% on first day of Nasdaq trading,"[],[AI company, Gorilla Technology IPO, Nasdaq]",https://www.digitimes.com/news/a20220715VL202/edge-ai-gorilla-technology.html
    …  reportedly planning to do an initial public offering (ipo) in the u.s. soon …  have any plans for an ipo.   the success of the company … ,15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,China’s Fashion Company Shein Eyes 2024 IPO,"[],[China’s Fashion Company Shein Eyes 2024]",https://www.pymnts.com/news/ipo/2022/chinas-fashion-company-shein-eyes-2024-ipo/
" …  to spin-off in an initial public offering in 2023, is facing the …  it is open to an ipo of the unit, with contributions …",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Volkswagen's Battery Business Faces Supply-Chain Jolt With IPO Plans On Horizon: Report,"[],[Volkswagen, Battery Business Faces Supply-Chain Jolt With]",https://www.benzinga.com/news/22/07/28077279/volkswagens-vertical-integration-into-battery-manufacturing-faces-roadblock-amid-supply-challenges-r
" …  shein hopes to do an initial public offering in the united states as …  be an obstacle to an ipo, according to the report. previously … , shein had sought a 2022 ipo in the u.s., according …",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,"Chinese fast-fashion company Shein seeks U.S. IPO as soon as 2024, report says TopologyPro One News Aggregator and Search Portal","[],[TopologyPro One News Aggregator]",https://www.chinatechnews.com/2022/07/15/73131-chinese-fast-fashion-company-shein-seeks-u-s-ipo-as-soon-as-2024-report-says-topologypro-one-news-aggregator-and-search-portal
 …  : there is a lull of initial public offerings (ipos) after a storm last year …  has been a dearth of ipos for more than a month …  month in last year’s ipo boom when no public issue …,15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Why we are in a season of IPO drought,"[],[]",https://www.livemint.com/market/ipo/jittery-mkt-leads-to-longest-dry-spell-for-ipo-launch-in-a-year-11657819092487.html
" … to talk about investment bankers, initial public offerings and structured products. how  … paid to sell a hot ipo? generally, investment bankers get … : on a $2-billion ipo, bankers can make $100  … structured products and regular (non-ipo) stock sales, though the  …",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Five reasons the investment industry may work against some investors,"[],[]",https://ipo.einnews.com/article/581414161/7XPDJbsQqrn8rJSz?ref=rss&ecode=cpCdwuL2w4azHHGe
" …  services including preparing companies for initial public offerings in the us, where pillai …  raised $201 million in an ipo in november. the special purpose …",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,UST cofounder targets $1 billion funding for tech investment,"[],[UST]",https://economictimes.indiatimes.com/tech/funding/ust-cofounder-targets-1-billion-funding-for-tech-investment/articleshow/92888430.cms
"After shelving its plans previously for an IPO in 2022, Chinese fast-fashion giant Shein is now hoping to go public with an initial public offering (IPO) in the United States as soon as 2024.



According to a report from Bloomberg, the company faces environmental, social and governance, or ESG, concerns that could be an obstacle to the IPO.

The $100 billion valuation firm has drawn scrutiny for its cheap product line that has been built on a fast and prolific production chain. A probe by Swiss watchdog group Public Eye said some of Shein’s manufacturers have been subjecting employees to dangerous conditions and 75-hour workweeks, as per a report by CNBC.

bbc

While these concerns have not dissuaded large investors such as Sequoia Capital China, IDG Capital, and Tiger Global Management, recent executive moves within Shein appear to focus on improving their ESG appearance in preparation for a public offering, according to Bloomberg.



Critics reportedly still have issues with Shein garments’ short-term 'wearability', and the criticism has spread to fast-fashion more broadly.

Last year, Shein had overtaken Amazon as top shopping app on US app stores.

Also Read: From Swiggy To Flipkart: List Of Big Upcoming IPOs To Look Forward To In 2022-23

Ban In India

Also, Shein was amongst the 59 China linked apps banned by the govt of India in 2020. The ministry of information technology had confirmed the ban, stating that these ""are prejudicial to sovereignty and integrity of India, defence of India, security of state and public order.”

shutterstock

The Indian government had banned those Chinese apps, including Shein, to tackle privacy and security concerns of the Indian digital space. Around that time, the Indian intelligence agencies had issued a warning against the use of Chinese apps, stating that these apps are not secure and extract a large amount of data outside India.



The other apps that were banned in 2022 included WeChat, TikTok, Mi Video Call, Viva Video, Cam Scanner etc.

For the latest and interesting financial news, keep reading Indiatimes Worth. Click here.",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Shein Aiming For US IPO In 2024,"[ESG, Public Eye, CNBC, Sequoia Capital China, IDG Capital, Tiger Global Management, ESG, Bloomberg, Amazon, The ministry of information, WeChat, TikTok, Viva Video],[Shein Aiming]",https://ipo.einnews.com/article/581423486?lcf=OCDoEYEqDerAgfzLAbKEdQ%3D%3D
"Two people hold two Shein bags after entering SHEIN's first physical store in Madrid, Spain, June 2, 2022. Cezaro De Luca | Europa Press | Getty Images Chinese fast-fashion giant Shein hopes to do an initial public offering in the United States as soon as 2024, according to a report from Bloomberg , which cited people familiar with the matter. Yet it faces environmental, social and governance, or ESG, concerns that could be an obstacle to an IPO, according to the report. Previously, Shein had sought a 2022 IPO in the U.S., according to Reuters . Shein, which has a...",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,"Chinese fast-fashion company Shein seeks U.S. IPO as soon as 2024, report says","[SHEIN, ESG, Reuters],[]",https://ipo.einnews.com/article/581366776?lcf=OCDoEYEqDerAgfzLAbKEdQ%3D%3D
"Chinese fast fashion company Shein aims for US IPO as early as 2024: report Markets By Sydney Barrett Last updated Jul 14, 2022 Share Two people hold two Shein bags after entering SHEIN’s first retail store in Madrid, Spain, June 2, 2022. Cesaro de Luca | European Press | Getty Images Chinese fast-fashion giant Shein hopes to go public in the United States as early as 2024, according to a report by Bloomberg citing people familiar with the matter. However, according to the report, it faces environmental, social and governance or ESG concerns that could pose a barrier to an...",15/Jul/2022 00:00:00,15/Jul/2022 18:32:40,Chinese fast fashion company Shein aims for US IPO as early as 2024: report,"[SHEIN, ESG],[]",https://ipo.einnews.com/article/581366738?lcf=OCDoEYEqDerAgfzLAbKEdQ%3D%3D
