publish_date,scraped_date,title,text,Companies,Country,link,Comments,update
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Molecular Partners Ag Nasdaq Moln Shareholder Class Action Alert Bernstein Liebhard Llp Announces That A Securities Class Action Lawsuit Has Been Filed Against Molecular Partners Ag Nasdaq Moln ,"Did You Lose Money On Investments In Molecular Partners If So, Please Visit Molecular Partners Ag Shareholder Class Action Lawsuit Or Contact Peter Allocco At 212 951 2030 Or Pallocco Bernlieb Com To Discuss Your Rights New York, July 14, 2022 Globe Newswire Bernstein Liebhard Llp Announces That A Securities Class Action Lawsuit Has Been Filed On Behalf Of Investors Who Purchased Or Otherwise Acquired A Molecular Partners Ag Molecular Partners Or The Company American Depositary Shares Adss Pursuant And Or Traceable To The Offering Documents Issued In Connection With The Company S Initial Public Offering Conducted On Or About June 16, 2021 The Ipo And Or B Molecular Partners Securities Between June 16, 2021 And April 26, 2022, Both Dates Inclusive The Class Period The Lawsuit Was Filed In The United States District Court For The Southern District Of New York And Alleges Violations Of The Securities Act Of 1933 And Securities Exchange Act Of 1934 Molecular Partners Operates As A Clinical Stage Biopharmaceutical Company That Focuses On The Discovery, Development, And Commercialization Of Therapeutic Proteins Leading Up To And Following The Ipo, The Company Repeatedly Touted The Clinical And Commercial Prospects Of Certain Of Its Product Candidates Under Development In Collaboration With Other Companies Among Other Product Candidates, Molecular Partners Is Developing Ensovibep As A Treatment For Covid 19 In Collaboration With Novartis Ag Novartis One Of The Company S Most Important Development Strategies For Ensovibep Includes Securing Emergency Use Authorization Eua For Ensovibep From The U S Food And Drug Administration Fda In Addition, Molecular Partners Is Developing Mp0310 Amg 506 For The Treatment Of Certain Types Of Cancer In Collaboration With Amgen Inc Amgen The Company Granted Amgen, Among Other Licenses, The Right To Progress Mp0310 S Development Program Into Later Stage Development, Including Into Combination Trials, Following Phase 1 Data On April 22, 2021, Molecular Partners Filed A Registration Statement On Form F 1 With The Sec In Connection With The Ipo, Which, After Several Amendments, Was Declared Effective By The Sec On June 15, 2021 The Registration Statement Then, On June 16, 2021, The Company Filed A Prospectus On Form 424B4 With The Sec In Connection With The Ipo, Which Incorporated And Formed Part Of The Registration Statement Collectively, The Offering Documents Pursuant To The Offering Documents, Molecular Partners Conducted The Ipo, Issuing 3 Million Of Its Adss To The Public At The Ipo Price 21 25 Per Ads, For Proceeds To The Company Of Over 59 Million Plaintiff Alleges That Defendants Statements In The Offering Documents Were Materially False And Misleading When Made Because Defendants Failed To Disclose That I Ensovibep Was Less Effective At Treating Covid 19 Than Defendants Had Led Investors To Believe Ii Accordingly, The Fda Was Reasonably Likely To Require An Additional Phase 3 Study Of Ensovibep Before Granting The Drug Eua Iii Waning Global Rates Of Covid 19 Significantly Reduced The Company S Chances Of Securing Eua For Ensovibep Iv As A Product Candidate, Mp0310 Was Less Attractive To Amgen Than Defendants Had Led Investors To Believe V Accordingly, There Was A Significant Likelihood That Amgen Would Return Global Rights Of Mp0310 To Molecular Partners Vi As A Result Of All The Foregoing, The Clinical And Commercial Prospects Of Ensovibep And Mp0310 Were Overstated And Vii As A Result, The Offering Documents And Defendants Public Statements Throughout The Class Period Were Materially False And Or Misleading And Failed To State Information Required To Be Stated Therein On November 16, 2021, Molecular Partners Disclosed That A Planned Futility Analysis Of Ensovibep In An Ongoing Phase 3 Clinical Study Has Not Met The Thresholds Required To Continue Enrollment Of Adults With Covid 19 In The Hospitalized Setting On This News, Molecular Partners Ads Price Fell 4 64 Per Ads To Close At 10 15 Per Ads On November 16, 2021 Then, On April 26, 2022, Months After Applying For Eua From The Fda For Ensovibep, Novartis Chief Executive Officer, Vas Narasimhan, Disclosed That Given The Latest Feedback In Our Discussions With The Fda , We Would Expect The Agency To Require A Phase 3 Study Before Granting An Eua Approval Or A General Approval For Ensovibep, And That We Need To Make A Kind Of Sober Evaluation As To Is It A Doable Study In Light Of The Waning Rates Of Covid Around The World On This News, Molecular Partners Ads Price Fell 2 68 Per Ads To Close At 13 89 Per Ads On April 26, 2022 Also On April 26, 2022, During After Market Hours, Molecular Partners Announced That Amgen Has Informed The Company Of Their Decision To Return Global Rights Of Mp0310 To Molecular Partners Following A Strategic Pipeline Review On This News, Molecular Partners Ads Price Fell An Additional 5 19 Per Ads To Close At 8 70 Per Ads On April 27, 2022 A Total Decline Of 7 87 Per Ads, Or 47 5%, Over Two Consecutive Trading Days, And 59 06% Below The 21 25 Per Ads Ipo Price If You Wish To Serve As Lead Plaintiff, You Must Move The Court No Later Than September 12, 2022 A Lead Plaintiff Is A Representative Party Acting On Behalf Of Other Class Members In Directing The Litigation Your Ability To Share In Any Recovery Doesn T Require That You Serve As Lead Plaintiff If You Choose To Take No Action, You May Remain An Absent Class Member If You Purchased Or Otherwise Acquired Moln Adss Or Securities, And Or Would Like To Discuss Your Legal Rights And Options Please Visit Molecular Partners Ag Shareholder Class Action Lawsuit Or Contact Peter Allocco At 212 951 2030 Or Pallocco Bernlieb Com Since 1993, Bernstein Liebhard Llp Has Recovered Over 3 5 Billion For Its Clients In Addition To Representing Individual Investors, The Firm Has Been Retained By Some Of The Largest Public And Private Pension Funds In The Country To Monitor Their Assets And Pursue Litigation On Their Behalf As A Result Of Its Success Litigating Hundreds Of Lawsuits And Class Actions, The Firm Has Been Named To The National Law Journal S Plaintiffs Hot List Thirteen Times And Listed In The Legal 500 For Ten Consecutive Years Attorney Advertising 2022 Bernstein Liebhard Llp The Law Firm Responsible For This Advertisement Is Bernstein Liebhard Llp, 10 East 40Th Street, New York, New York 10016, 212 779 1414 Prior Results Do Not Guarantee Or Predict A Similar Outcome With Respect To Any Future Matter Contact Information Peter Alloccobernstein Liebhard Llphttps Www Bernlieb Com 212 951 2030Pallocco Bernlieb Com ", Novartis Ag , ,https://www.globenewswire.com/news-release/2022/07/14/2480138/0/en/MOLECULAR-PARTNERS-AG-NASDAQ-MOLN-SHAREHOLDER-CLASS-ACTION-ALERT-Bernstein-Liebhard-LLP-Announces-that-a-Securities-Class-Action-Lawsuit-Has-Been-Filed-Against-Molecular-Partners-A.html, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Missfresh Limited Nasdaq Mf Shareholder Class Action Alert Bernstein Liebhard Llp Announces That A Securities Class Action Lawsuit Has Been Filed Against Missfresh Limited Nasdaq Mf ,"Did You Lose Money On Investments In Missfresh Limited If So, Please Visit Missfresh Limited Shareholder Class Action Lawsuit Or Contact Peter Allocco At 212 951 2030 Or Pallocco Bernlieb Com To Discuss Your Rights New York, July 14, 2022 Globe Newswire Bernstein Liebhard Llp Announces That A Securities Class Action Lawsuit Has Been Filed On Behalf Of Investors Who Purchased Or Otherwise Acquired The Securities Of Missfresh Limited Missfresh Or The Company Nasdaq Mf Pursuant And Or Traceable To The Registration Statement And Related Prospectus Collectively, The Registration Statement Issued In Connection With Missfresh S June 2021 Initial Public Offering The Ipo Or Offering The Lawsuit Was Filed In The United States District Court For The Eastern District Of New York And Alleges Violations Of The Securities Exchange Act Of 1933 Missfresh Purports To Be An Innovator And Leader In China S Neighborhood Retail Industry Which Invented The Distributed Mini Warehouse Dmw Model To Operate An Integrated Online And Offline On Demand Retail Business Focusing On Offering Fresh Produce And Fast Moving Consumer Goods Fmcgs On Or About June 8, 2021, Missfresh Filed With The Sec A Registration Statement On Form F 1, Which In Combination With A Subsequent Amendment On Form F 1 A And Filed Pursuant To Rule 424 B 4 , Would Be Used For The Ipo On June 23, 2021, Missfresh Filed With The Sec Its Final Prospectus For The Ipo On Form 424B4 The Prospectus , Which Forms Part Of The Registration Statement In The Ipo, Missfresh Sold Approximately 21 Million American Depositary Shares Adss At 13 00 Per Ads Plaintiff Alleges That Defendants Statements In The Registration Statement Were Materially False And Misleading When Made Because 1 Missfresh Provided False Financial Figures In Its Registration Statement 2 Missfresh Would Need To Amend Its Financial Figures 3 Missfresh, Among Other Things, Had Lesser Net Revenues For The Quarter Ended March 31, 2021 And 4 As A Result, Defendants Public Statements Were Materially False And Misleading At All Relevant Times And Negligently Prepared On April 29, 2022, After Trading Hours, Missfresh Filed With The Sec A Notification Of Late Filing On Form 12B 25 Which Announced, Among Other Things, That The Independent Audit Committee Of The Company S Board Of Directors, With The Assistance Of Professional Advisors, Wa S In The Process Of Conducting An Internal Review Of Certain Matters, Including Those Relating To Transactions Between The Company And Certain Third Party Enterprises On This News, Missfresh Adss Fell 13% To Close At 0 448 Per Ads On May 2, 2021 Then, On May 24, 2022, Missfresh Disclosed That The Company Was Unable To File Its 2021 Annual Report By The Extended Deadline, Primarily Because The Company Is Unable To Complete The Audit Of The Financial Statements Of The Company For The Fiscal Year Ended December 31, 2021 On This News, Missfresh S Adss Fell 0 018 Per Share, Or 9 7%, Over The Following Two Trading Days, To Close At 0 167 Per Ads On May 26, 2022 Finally, On July 1, 2022, Missfresh Issued A Press Release Entitled Missfresh Announces The Substantial Completion Of The Audit Committee Led Independent Internal Review Which Disclosed, Among Other Things, That The Company S Review Identified Certain Transactions That Exhibit Characteristics Of Questionable Transactions, Such As Undisclosed Relationships Between Suppliers And Customers, Different Customers Or Suppliers Sharing The Same Contact Information, And Or Lack Of Supporting Logistics Information And That Consequently, Certain Revenue Associated With Those Reporting Periods In 2021 May Have Been Inaccurately Recorded In The Company S Financial Statements Since The Ipo, The Price Of Missfresh S Adss Has Fallen Over 97%, Closing At 0 3075 Per Ads On July 6, 2022 If You Wish To Serve As Lead Plaintiff, You Must Move The Court No Later Than September 12, 2022 A Lead Plaintiff Is A Representative Party Acting On Behalf Of Other Class Members In Directing The Litigation Your Ability To Share In Any Recovery Doesn T Require That You Serve As Lead Plaintiff If You Choose To Take No Action, You May Remain An Absent Class Member If You Purchased Or Otherwise Acquired Mf Securities, And Or Would Like To Discuss Your Legal Rights And Options Please Visit Missfresh Limited Shareholder Class Action Lawsuit Or Contact Peter Allocco At 212 951 2030 Or Pallocco Bernlieb Com Since 1993, Bernstein Liebhard Llp Has Recovered Over 3 5 Billion For Its Clients In Addition To Representing Individual Investors, The Firm Has Been Retained By Some Of The Largest Public And Private Pension Funds In The Country To Monitor Their Assets And Pursue Litigation On Their Behalf As A Result Of Its Success Litigating Hundreds Of Lawsuits And Class Actions, The Firm Has Been Named To The National Law Journal S Plaintiffs Hot List Thirteen Times And Listed In The Legal 500 For Ten Consecutive Years Attorney Advertising 2022 Bernstein Liebhard Llp The Law Firm Responsible For This Advertisement Is Bernstein Liebhard Llp, 10 East 40Th Street, New York, New York 10016, 212 779 1414 Prior Results Do Not Guarantee Or Predict A Similar Outcome With Respect To Any Future Matter Contact Information Peter Alloccobernstein Liebhard Llphttps Www Bernlieb Com 212 951 2030Pallocco Bernlieb Com ", Bernstein Liebhard , ,https://www.globenewswire.com/news-release/2022/07/14/2480139/0/en/MISSFRESH-LIMITED-NASDAQ-MF-SHAREHOLDER-CLASS-ACTION-ALERT-Bernstein-Liebhard-LLP-Announces-that-a-Securities-Class-Action-Lawsuit-Has-Been-Filed-Against-Missfresh-Limited-NASDAQ-M.html, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Kazakhstan S Kazmunaygas To Undertake Ipo This Year,"Nur Sultan Kazmunaygas Kmg , A National Oil And Gas Company, Will Go Public In 2022, Said Samruk Kazyna Board Chair Almasadam Satkaliyev Founded In 2002, Kmg Represents Kazakhstan S Interests In The National Oil And Gas Industry Photo Credit Kmgkmg Is A Key Asset Of Samruk Kazyna National Wealth Fund, A State Owned Sovereign Wealth Fund That Controls Most Of Kazakhstan S Valuable Assets All Worth Nearly Us 67 4 Billion Kmg Alone Produces 25 Percent Of The Country S Oil And Gas Condensate And 15 Percent Of Natural Gas And Associated Gas It Also Owns A 56 Percent Share Of Kazakhstan S Oil Transportation Market In 2021, Kmg Produced 21 651 Million Tons Of Oil And 8 1 Billion Cubic Meters Of Associated Gas And Natural Gas Besides Its Exploration Activities, Kmg Operates The Four Largest Refineries In Kazakhstan And Two In Romania The Initial Public Offering Ipo Of Kmg Shares Will Take Place On The Platforms Of Astana International Exchange Aix And Kase The Kazakhstan Stock Exchange The Fund And Kmg Have Hired Investment Banks To Prepare The Listing The Main Point Of Our Development Strategy Is The Reduction Of The Share Of Samruk Kazyna In The Local Economy And The Implementation Of Our Comprehensive Privatization Plan In February This Year, The Government Approved New Criteria For Our Assets To Be Included In The List Of The Privatization Program The Philosophy Of This Criteria Is Based On The Idea To Promote An Inclusive Economy And Create Competitive Markets, Said Satkaliyev At The Astana Finance Days On June 28 He Noted Kmg S Huge Potential In Terms Of Development And The Energy Transition Speaking About Other Plans For Ipo, Satkaliyev Said Air Astana Is Most Ready, But Considering The Current Geopolitical Situation, Conducting Air Astana Ipo This Year Will Not Be Effective There Is A Possibility Of Qazaqgas National Company, Which Is In Charge Of Natural Gas Transport Via Main Gas Pipelines, International Transit, And Sale Of Natural Gas On Domestic And Foreign Markets, Going Public In 2023 The Company Is Young And Ambitious, He Said The Company, However, Needs To Focus On The Growth In The Resource Base And Implementation Of Large Infrastructure Projects Addressing The Astana International Financial Centre Management Council Meeting On June 2, President Kassym Jomart Tokayev Emphasized All Citizens Should Have Equal Opportunity To Buy Shares Of National Companies, Including Through Digital Platforms It Is One Of The Ways To Form An Investment Culture Among People To Involve The General Population, We Plan To Use Kazpost S National Post Company Digital Infrastructure, Exchanges And Brokers For Example, It Will Be Possible To Buy Shares Without Leaving Home, Using Mobile Applications, And For Remote Regions To Use The Services Of Kazpost Offices, Said Satkaliyev Kmg Is Among 25 Companies From Samruk Kazyna Included In The Nation S Privatization Plan For 2021 2025 Overall, The Plan, Which Is 35 Percent Complete As Of 2021, Includes 721 State Owned Enterprises Privatization Has Been A Long Effort For Kazakhstan Its Large Scale Privatization Plan For 2016 2020 Was Fully Implemented The Share Of The State S Involvement In The Economy Went Down From 19 Percent In 2015 To 14 6 Percent In 2021 In November 2018, Kazatomprom, The World S Leading Uranium Producer And One Of The Samruk Kazyna Assets, Placed 15 Percent Of Its Shares Worth 451 Million On The London Stock Exchange And Aix Becoming The First National Company Listed On An International Stock Exchange Back Then, Its Shares Were Purchased By 49 Foreign And 17 Local Companies And 2,700 Kazakh Citizens ", Samruk , ,https://astanatimes.com/2022/07/kazakhstans-kazmunaygas-to-undertake-ipo-this-year/, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Nutraceutical Player Sami Sabinsa To Invest 300 Crore For Two New Manufacturing Facilities,"Sami Sabinsa Group Limited, A Nutraceutical Company, Will Be Building Two Additional Manufacturing Units With An Investment Of 300 Crore In Hassan, Karnataka, Within A Year The Company Expects To Strengthen Its Position In The Indian And Overseas Markets With Additional Production Capacities Our First Facility Would Be Operational Within Three Months The Other Is Scheduled Before We Close The Fy23 The Objective Is To Enhance Our Production Capacity In The Nutritional Fine Chemicals And Herbal Extract Segments The Two Units Together Have A Production Capacity Of Producing 50 Tonnes Of Ingredients Per Month, Said Muhammed Majeed, Founder And Chairman, Sami Sabinsa Group Although The Company S Herbal Extract Product Line Contributes Up To 60 Per Cent To The Overall Revenue Of 1200 Crore It Clocked In Fy22, Majeed Believes That The Nutritional Fine Chemical Segment Is Expected To Register Growth In The Coming Years Going Forward, The Fine Chemicals Will Take A Major Leap Because We Have New Capacity Coming Up Now Currently, Nutritional Fine Chemicals Contribute About 10 Per Cent To The Company S Annual Revenue The Other Two Product Lines Include Probiotics 20 Per Cent And Cosmeceuticals 10 Per Cent While There Are No New Product Launches Scheduled For This Year, The Company Has Other Plans Majeed Said, There Are 300 Patents In The Pipeline Every Patent Is A Product And We Launch New Products Every Alternate Year The Nutraceutical Player Has 380 Patents On Its Name Sami Sabinsa Is An Export Oriented Company With 95 Per Cent Of Its Business Coming From Exports However, The Indian Market Is Essential As It Has More Volume The Indian Market Is Highly Price Sensitive, So Here The Products Are Priced At Just One Sixth Of The Us Price India Offers Much Bigger Volumes, Majeed Added The Company Said It Expects Revenue To Increase By At Least 20 Per Cent In The Fy23 The Company Has A Headcount Of 1200 Employees Across Its Six Facilities And Plans To Add 300 People More By End Of Fy23 Launching Its Iposami Sabsina Is Also Examining A Initial Public Offering Ipo Within Two Years The Company Will Launch Its Initial Public Offering Ipo , Post Which We Would Proceed With Our Acquisition Plans, He Added, Stating, In The Last 34 Years, The Company Has Established Itself Organically And Feels Market Based Acquisition To Be The Key To Moving Forward The Prospective Companies Being Examined By Sami Sabinsa For Acquisition Would Be In The Areas Of Manufacturing And Marketing With Shelf Space Across The Globe The Money Raised From The Ipo Will Go Into Acquisition And We Will Look For A Company That Has A Manufacturing And Market Space In Europe, The Us, And Dubai, Said The Founder The Sami Sabinsa Group S Manufacturing Facilities Are Located In Bengaluru, Hyderabad, And Utah Usa It Has A Global Footprint With A Presence In The Us, Australia, Brazil, Canada, China, Germany, India, Japan, South Africa, South Korea, And Several More Published Onjuly 13, 2022Companiesmanufacturingsharecommentscomments Will Be Moderated By The Hindu Editorial Team Comments That Are Abusive, Personal, Incendiary Or Irrelevant Cannot Be Published Please Write Complete Sentences Do Not Type Comments In All Capital Letters, Or In All Lower Case Letters,Or Using Abbreviated Text Example U Cannot Substitute For You, D Is Not The , N Is Not And We May Remove Hyperlinks Within Comments Please Use A Genuine Email Id And Provide Your Name, To Avoid Rejection "," Sami Sabinsa To Invest 300 Crore For Two New Manufacturing Facilities Sami Sabinsa Group Limited , Sami Sabinsa Group Limited , Sami Sabinsa To Invest 300 Crore For Two New Manufacturing Facilities Sami Sabinsa Group Limited, ", ,https://www.thehindubusinessline.com/companies/nutraceutical-player-sami-sabinsa-to-invest-300-crore-for-two-new-manufacturing-facilities/article65634597.ece, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Underwriting The Risk Assessment Process Used In Everything From Ipos To Life Insurance," , Often In The Form Of Initial Public Offerings Ipos By An Underwriter Bank Sell Securities To Fund The Ipo How Long Does Underwriting As Part Of The Ipo Process Typically Happens Within Is Not Complete Until The Ipo Is Complete The Financial ", Empty , ,https://www.businessinsider.com/personal-finance/what-is-underwriting, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,"Chinese Fast Fashion Company Shein Seeks U S Ipo As Soon As 2024, Report Says"," Shein Hopes To Do An Initial Public Offering In The United States As Be An Obstacle To An Ipo, According To The Report Previously , Shein Had Sought A 2022 Ipo In The U S , According ", Chinese Fast Fashion Company Shein , ,https://www.cnbc.com/2022/07/14/chinese-fast-fashion-company-shein-seeks-us-ipo-as-soon-as-2024-report.html, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Discord Why An Ipo Could Be Imminent, Of An Initial Public Offering If That Better Suits Their Needs Ipos Raise Capital Last Year S Coinbase Ipo Has Fared Sometimes A Considering Buying Into A Discord Ipo No One Knows For Sure Really Quickly Analysts Forecast An Ipo To Happen As Early As , Empty , ,https://www.fool.com/investing/2022/07/14/discord-why-an-ipo-could-be-imminent/?source=iedfolrf0000001, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Kobo Resources Inc Strengthens Its Technical Team Ahead Of The Completion Of Its Ipo, Prospectus For A Proposed Initial Public Offering Of Units Of The Corporation ," Kobo Resources Inc , Ko ", ,https://futures.tradingcharts.com/news/futures/Kobo_Resources_Inc__Strengthens_Its_Technical_Team_Ahead_of_the_Completion_of_Its_IPO_410137596.html, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Brazilian Internet Provider Vero Looks For Strategic Alternatives After Cancelling Ipo, Vero Had To Cancel Its Initial Public Offering Ipo In January Following A Report , Vero , ,https://www.channelnewsasia.com/business/brazilian-internet-provider-vero-looks-strategic-alternatives-after-cancelling-ipo-2810631?cid=cna_flip_070214, , 
14/Jul/2022 00:00:00,15/Jul/2022 12:26:32,Thai Life Insurance Raises 1 Billion Via Ipo," Raised 1 Billion From An Initial Public Offering, The Largest Share Sale By Also The Country S Largest Ipo Since Ngern Tid Lor Pcl ", Thai , ,https://www.reinsurancene.ws/thai-life-insurance-raises-1-billion-via-ipo/, , 
