,publish_date,scraped_date,title,text,Companies,Country,link,Comments,update
0,12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,Nigeria Why Geregu Listed By Way Of Introduction And Not By Ipo,"Geregu Power Plc Ngx Geregu Is A Power Generation Company Incorporated In 2006 And Commissioned In 2007 The Company Is Principally Engaged In The Generation And Sale Of Electric Power Geregu S Power Plant Is Wholly Owned And Operated By Amperion Power Distribution Company Limited Apdcl On Wednesday, October 5, 222, The Company Became The First Power Generating Company In The Country To Be Admitted With The Mainboard Of The Nigerian Exchange Limited Ngx By Way Of Listing By Introduction With The Admittance Of 2 5 Billion Ordinary Shares Of 50 Kobo Each At N100 Per Share On The Exchange The Listing Added N250 Billion To The Market Capitalization Of Ngx On Its First Trading Day On The Ngx, The Power Generating Company S Share Gained 10% To Close At N110 Per Share From The N100 Per Share It Was Listed By Introduction Meanwhile At The Close Of The Last Trading On Tuesday, October 11, 2022, It Closed At 120 90 And Thus Has Gained 9 91%, Ranking It 39Th On The Ngx In Terms Of Year To Date Performance And The 14Th Most Valuable Stock With A Market Capitalization Of N302 Billion Why Geregu Listed By Way Of Introductionmost Companies Prefer An Initial Public Offer Ipo During The Listing, Where New Shares Are Created, Underwritten, And Sold To The Public During Secondary Trading On The Ngx, Ownership Of Shares Is Simply Transferred From One Investor To Another Ipo Listing Is A Bit Cumbersome And Costly For Most Companies Hence Some Companies List Their Stocks Via Listing By Way Of Introduction Lbi In Lbi, The Company Listing Does Not Have To Undergo The Book Building, Underwriting, And Public Offer Process, And No New Shares Are Created Only Existing, Outstanding Shares Are Sold This Means Geregu Power Plc Listing By Introduction Entails That Only Existing Shareholders Of Geregu In This Case, Its Owners Trade Their Already Existing Shares With Anyone Who May Be Interested In Buying A Piece Of The Company Amperion Power Distribution Company Limited Owns The Largest Share In Geregu Power Plc Companies May Opt For Listing By The Introduction To Time The Market And Avoid Or Reduce Market Uncertainties Or For Other Reasons Not Because They Need Money Immediately For Example, In 2019, Nigeria S Leading Telecommunication Company, Mtnn Listed By Introduction On The Ngx And Prior To Going Public, Had Announced Earnings Before Interest, Taxes, And Depreciation Of N453 1Bn 1 27Bn For The 2018 Financial Year Also, Recall That Geregu Power Plc In July 2022 Announced Its Debut Of N40 085 Billion Senior Unsecured Bonds Under Its N100 Billion Multi Instrument Bond Issuance In The Debt Market, Which Was Over Subscribed The Issuance Which Started On July 1, 2022, Following Security And Exchange Commission S Approval Closed On July 14, 2022, With A Bond Yield Of 14 50% Company Performancethe Audited Financial Statements Of The Power Generating Company Submitted To The Regulators Show That, In Terms Of Earnings, The Company, Met The Ngx Listing Requirement Of A Pre Tax Profit From Continuing Operation Of Not Less Than N300Million Cumulatively For The Last Three 3 Fiscal Years And A Minimum Of N100 Million In Two 2 Of These Years The Company S Last Pre Listing Financial Year 2021 Profit Before Tax Stood At N29 512 Billion 43% Up From N20 649 Billion In 2020, While Profit After Tax Was Up 45 49% To N20 550 Billion From N14 125 Billion In 2020Fy And Earnings Per Share Jumped To N2,055 Per Share From N1,412 54 In 2020 Over The Past Four Years 2018 2021 , The Average Profit After Tax Is N18 782 Billion Or 25% Average Growth Per Year, Resulting In An Impressive Average Net Profit Margin Of 28% Per Year Bottom Line Overall, When Deciding To Invest In Shares Of Geregu Power Plc, Take A Similar Approach As If You Are Investing In Ipo Shares Read The Listing Document Or Prospectus Of The Company To Understand The Business Nature, Its Performance, Which We Have Highlighted Herein, And Its Outlook, To Find Out Any Corporate Action Recently Taken Such As Dividend Distribution Or Any Possible Risk "," Geregu Power Plc, Company, Amperion Power Distribution Company Limited, The Nigerian Exchange Limited, Exchange, Ngx, Ngx, N110, Ngx, Lbi, Geregu Power Plc, Amperion Power Distribution Company Limited, Geregu Power Plc, Mtnn, Ngx, Geregu Power Plc, Security And Exchange Commission S, Geregu Power Plc , ", ,https://www.african-markets.com/en/stock-markets/ngse/nigeria-why-geregu-listed-by-way-of-introduction-and-not-by-ipo, , 
1,12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,Glancy Prongay Murray Llp Reminds Investors Of Looming Deadline In The Class Action Lawsuit Against Miniso Group Holding Limited Mnso ,"Los Angeles, Oct 12, 2022 Globe Newswire Glancy Prongay Murray Llp Gpm Reminds Investors Of The Upcoming October 17, 2022 Deadline To File A Lead Plaintiff Motion In The Class Action Filed On Behalf Of Investors Who Purchased Or Otherwise Acquired Miniso Group Holding Limited Miniso Or The Company Nyse Mnso Securities Pursuant And Or Traceable To The Registration Statement And Prospectus Collectively, The Registration Statement Issued In Connection With The Company S October 2020 Initial Public Offering The Ipo Or Offering If You Suffered A Loss On Your Miniso Investments Or Would Like To Inquire About Potentially Pursuing Claims To Recover Your Loss Under The Federal Securities Laws, You Can Submit Your Contact Information At Www Glancylaw Com Cases Miniso Group Holding Limited You Can Also Contact Charles H Linehan, Of Gpm At 310 201 9150, Toll Free At 888 773 9224, Or Via Email At Shareholders Glancylaw Com To Learn More About Your Rights On October 15, 2020, Miniso Conducted Its Ipo, Issuing Approximately 30 4 Million American Depositary Shares Adss At 20 00 Per Ads On July 26, 2022, Blue Orca Capital Published A Report Alleging, Among Other Things, That Miniso Lies About Its Core Business Model By Claiming That 99% Of Its Stores In China Are Operated By Independent Franchises However, An Investigation Shows That Over 620 Supposedly Independent Franchises Are Registered Under The Names Of Miniso Executives Or Individuals Closely Connected To The Company S Chairman On This News, Miniso S Ads Price Fell 1 08, Or 15%, To Close At 6 13 Per Ads On July 26, 2022, Thereby Injuring Investors The Complaint Filed In This Class Action Alleges That Defendants Made Materially False And Or Misleading Statements, As Well As Failed To Disclose Material Adverse Facts About The Company S Business, Operations, And Prospects Specifically, Defendants Failed To Disclose To Investors That 1 Defendants And Other Undisclosed Related Parties Owned And Controlled A Much Larger Amount Of Miniso Stores Than Previously Stated 2 As A Result, Miniso Concealed Its True Costs 3 The Company Did Not Represent Its True Business Model 4 Defendants, Including The Company And Its Chairman, Engaged In Planned Unusual And Unclear Transactions 5 As A Result Of At Least One Of These Transactions, The Company Is At Risk Of Breaching Contracts With Prc Authorities 6 The Company Would Imminently And Drastically Drop Its Franchise Fees And 7 As A Result, Defendants Positive Statements About The Company S Business, Operations, And Prospects Were Materially Misleading And Or Lacked A Reasonable Basis At All Relevant Times Follow Us For Updates On Linkedin, Twitter, Or Facebook If You Purchased Or Otherwise Acquired Miniso Securities Pursuant And Or Traceable To The Ipo, You May Move The Court No Later Than October 17, 2022 To Request Appointment As Lead Plaintiff In This Putative Class Action Lawsuit To Be A Member Of The Class Action You Need Not Take Any Action At This Time You May Retain Counsel Of Your Choice Or Take No Action And Remain An Absent Member Of The Class Action If You Wish To Learn More About This Class Action, Or If You Have Any Questions Concerning This Announcement Or Your Rights Or Interests With Respect To The Pending Class Action Lawsuit, Please Contact Charles Linehan, Esquire, Of Gpm, 1925 Century Park East, Suite 2100, Los Angeles, California 90067 At 310 201 9150, Toll Free At 888 773 9224, By Email To Shareholders Glancylaw Com, Or Visit Our Website At Www Glancylaw Com If You Inquire By Email Please Include Your Mailing Address, Telephone Number And Number Of Shares Purchased This Press Release May Be Considered Attorney Advertising In Some Jurisdictions Under The Applicable Law And Ethical Rules Contacts Glancy Prongay Murray Llp, Los Angeles Charles Linehan, 310 201 9150 Or 888 773 9224 Shareholders Glancylaw Com Www Glancylaw Com"," Globe Newswire, Gpm, Miniso Group Holding Limited, Nyse, Gpm, Miniso, Ipo, Blue Orca Capital, Miniso, Miniso, Company, Miniso, Miniso, Miniso, Company, Company, Miniso, Ipo, Court, Gpm , Prongay Murray Llp Reminds Investors Of, The Class Action Lawsuit Against Miniso Group Holding Limited ", ,https://www.globenewswire.com/news-release/2022/10/12/2533221/34548/en/Glancy-Prongay-Murray-LLP-Reminds-Investors-of-Looming-Deadline-in-the-Class-Action-Lawsuit-Against-MINISO-Group-Holding-Limited-MNSO.html, , 
2,12/Oct/2022 00:00:00,13/Oct/2022 03:45:28,"Bcs, Ysg Olo Class Action Deadlines Bronstein, Gewirtz Grossman, Llc, A Successful Firm, Reminds Investors Of Deadlines And To Actively Participate","New York, Oct 12, 2022 Globe Newswire Attorney Advertising Bronstein, Gewirtz Grossman, Llc Reminds Investors That A Class Action Lawsuit Has Been Filed Against The Following Publicly Traded Companies You Can Review A Copy Of The Complaints By Visiting The Links Below Or You May Contact Peretz Bronstein, Esq Or His Law Clerk And Client Relations Manager, Yael Nathanson Of Bronstein, Gewirtz Grossman, Llc At 212 697 6484 If You Suffered A Loss, You Can Request That The Court Appoint You As Lead Plaintiff Your Ability To Share In Any Recovery Doesn T Require That You Serve As A Lead Plaintiff A Lead Plaintiff Acts On Behalf Of All Other Class Members In Directing The Litigation The Lead Plaintiff Can Select A Law Firm Of Its Choice An Investor S Ability To Share In Any Potential Future Recovery Is Not Dependent Upon Serving As Lead Plaintiff Barclays Plc Nyse Bcs Class Period February 18, 2021 March 25, 2022Deadline November 22, 2022For More Info Www Bgandg Com Bcs1 The Complaint Alleges That Defendants Made False And Or Misleading Statements And Or Failed To Disclose That 1 In Barclays Reported Financial Statements Which Have Been Restated 2 By Stating That Barclays Internal Controls Over Financial Reporting Were Effective Which Barclays Has Admitted Were Not Effective And Had A Material Weakness And 3 By Failing To Disclose The Over Issuance And That Barclays Bank Plc Bbplc , A Wholly Owned Subsidiary Of Barclays, Was Violating U S Securities Laws And Or Sec Regulations, Subjecting Barclays To Legal Liability When The True Details Entered The Market, The Lawsuit Claims That Investors Suffered Damages Yatsen Holding Limited Nyse Ysg Class Period I Pursuant And Or Traceable To The Company S Initial Public Offering Conducted On Or About November 19, 2020 The Ipo And Or Ii Between November 19, 2020 And March 10, 2022, Both Dates Inclusive The Class Period Deadline November 22, 2022For More Info Www Bgandg Com Ysg The Complaint Alleges That Throughout The Class Period, Defendants Misled Investors Into Believing That Yatsen S Two Largest And Historically Most Significant Brands, Perfect Diary And Little Ondine, Were Thriving, Thereby Driving Yatsen S Healthy Top Line Growth At The Time Of Its Ipo And Quarter After Quarter Thereafter In Truth, However, Cosmetic And Skincare Sales Of Perfect Diary And Little Ondine Products Were Declining In The Period Leading Up To And Including At The Time Of The Ipo And Continued To Decline Throughout 2021 Olo Inc Nyse Olo Class Period August 11, 2021 August 11, 2022Deadline November 28, 2022For More Info Www Bgandg Com Olo The Complaint Alleges That Defendants Made False And Or Misleading Statements, And Or Failed To Disclose That 1 Subway Was Ending Its Contract With Olo 2 Olo S Key Business Metric Active Locations Could Not Continue To Grow As Defendants Touted Due To The Loss Of Subway S Business And 3 That, As A Result Of The Above, Defendants Statements About Olo S Business, Operations, And Prospects Were False And Misleading And Or Lacked A Reasonable Basis Contact Bronstein, Gewirtz Grossman, Llcperetz Bronstein Or Yael Nathanson212 697 6484 Info Bgandg Com "," Globe Newswire, Gewirtz Grossman, Complaints, Bronstein, Gewirtz Grossman, Court, Barclays Plc, Nyse, Bcs, Www Bgandg Com Bcs1 The Complaint, Barclays, Barclays, Barclays Bank Plc, Bbplc, Barclays, Sec, Yatsen Holding Limited, Nyse, Company, Complaint, Defendants, Yatsen, Perfect Diary And Little Ondine, Yatsen, Perfect Diary And Little Ondine, Olo Inc , Nyse, Olo, Complaint, Olo, Defendants, Subway, Defendants, Gewirtz Grossman , Bcs, Ysg Olo Class Action, Gewirtz Grossman, Llc, Reminds Investors, Actively Participate ", ,https://www.globenewswire.com/news-release/2022/10/12/2533116/9788/en/BCS-YSG-OLO-Class-Action-Deadlines-Bronstein-Gewirtz-Grossman-LLC-A-Successful-Firm-Reminds-Investors-of-Deadlines-and-to-Actively-Participate.html, , 
