,Type,link,FileDate,CompanyName,CIK,STANDARD INDUSTRIAL CLASSIFICATION,irs_no,State_of_inc,MailAddress,BusinessCity,BusinessPhone,BusinessZip,BusinessState,BusinessStreetAddress,No_of_shares,Price_per_share,Exchage,Company_description
0,S-1/A,https://www.sec.gov/Archives/edgar/data/1873504/000121390022039440/0001213900-22-039440.txt,2022-07-14,Namaste World Acquisition Corp,0001873504,BLANK CHECKS [6770],871541119,DE,"  STREET 1:  44320 OSGOOD RD,  CITY:   FREMONT,  STATE:   CA",   FREMONT,  8589223770,   94539,   CA,"  STREET 1:  44320 OSGOOD RD,  CITY:   FREMONT",,,,
1,S-1/A,https://www.sec.gov/Archives/edgar/data/1883313/000119312522193870/0001193125-22-193870.txt,2022-07-14,"Savers Value Village, Inc.",0001883313,RETAIL-MISCELLANEOUS RETAIL [5900],834165683,DE,"  STREET 1:  11400 SE 6TH ST., #220,  CITY:   BELLEVUE,  STATE:   WA",   BELLEVUE,  425-462-1515,   98004,   WA,"  STREET 1:  11400 SE 6TH ST., #220",,,,
2,S-1/A,https://www.sec.gov/Archives/edgar/data/1800943/000180094322000009/0001800943-22-000009.txt,2022-07-14,"Docs, Inc.",0001800943,SERVICES-OFFICES &amp; CLINICS OF DOCTORS OF MEDICINE [8011],364868730,NV," MAIL ADDRESS: ,  STREET 1:  5235 S DURANGO DR,  STREET 2:  SUITE 103",   LAS VEGAS, ,   89113,   NV,"  STREET 1:  5235 S DURANGO DR,  STREET 2:  SUITE 103",,,,
3,S-1/A,https://www.sec.gov/Archives/edgar/data/1108248/000149315222019316/0001493152-22-019316.txt,2022-07-14,KRONOS ADVANCED TECHNOLOGIES INC,0001108248,INDUSTRIAL &amp; COMMERCIAL FANS &amp; BLOWERS &amp; AIR PURIFYING EQUIP [3564],870440410,NV," MAIL ADDRESS: ,  STREET 1:  333 S STATE ST,  STREET 2:  PMB 111",   LAKE OSWEGO, ,   97034,   OR,"  STREET 1:  333 S STATE ST,  STREET 2:  PMB111",,,,
4,S-1/A,https://www.sec.gov/Archives/edgar/data/1376804/000182912622014330/0001829126-22-014330.txt,2022-07-14,"VNUE, Inc.",0001376804,SERVICES-MOTION PICTURE &amp; VIDEO TAPE DISTRIBUTION [7822],980543851,NV," MAIL ADDRESS: ,  STREET 1:  104 WEST 29TH STREET,  STREET 2:  11TH FLOOR",   NEW YORK, ,   10001,   NY,"  STREET 1:  104 WEST 29TH STREET,  STREET 2:  11TH FLOOR",,,,
5,S-1/A,https://www.sec.gov/Archives/edgar/data/1631282/000121390022039378/0001213900-22-039378.txt,2022-07-14,DATASEA INC.,0001631282,SERVICES-PREPACKAGED SOFTWARE [7372],472019013,NV," MAIL ADDRESS: ,  STREET 1:  1 XINGHUO RD, CHANGNING BLDG, STE.11D2E,  STREET 2:  FENGTAI DISTRICT",   BEIJING, ,   100070,   F4,"  STREET 1:  1 XINGHUO RD, CHANGNING BLDG",,,,
6,S-1,https://www.sec.gov/Archives/edgar/data/1078799/000107997322000843/0001079973-22-000843.txt,2022-07-14,"Marijuana Co of America, Inc.",0001078799,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS [2833],870426858,UT," MAIL ADDRESS: ,  STREET 1:  633 W. 5TH STREET,  STREET 2:  SUITE 2826",   LOS ANGELES, ,   90071,   CA,"  STREET 1:  633 W. 5TH STREET,  STREET 2:  SUITE 2826",,,,
7,S-1/A,https://www.sec.gov/Archives/edgar/data/1917762/000121390022039356/0001213900-22-039356.txt,2022-07-14,Dorchester Capital Acquisition Corp.,0001917762,BLANK CHECKS [6770],880839149,OK," MAIL ADDRESS: ,  STREET 1:  210 PARK AVENUE,  STREET 2:  SUITE 3121",   OKLAHOMA CITY, ,   73102,   OK,"  STREET 1:  210 PARK AVENUE,  STREET 2:  SUITE 3121",,,,
8,S-1,https://www.sec.gov/Archives/edgar/data/1865249/000121390022039205/0001213900-22-039205.txt,2022-07-14,Vistas Acquisition Co II Inc.,0001865249,BLANK CHECKS [6770],981598798,E9,"  STREET 1:  30 WALL STREET, 8TH FLOOR,  CITY:   NEW YORK,  STATE:   NY",   NEW YORK,  (212) 859-3525,   10005,   NY,"  STREET 1:  30 WALL STREET, 8TH FLOOR",,,,
9,S-1/A,https://www.sec.gov/Archives/edgar/data/1799011/000149315222019227/0001493152-22-019227.txt,2022-07-14,Lucid Diagnostics Inc.,0001799011,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS [3841],825488042,DE,"  STREET 1:  ONE GRAND CENTRAL PLACE, SUITE 4600,  CITY:   NEW YORK,  STATE:   NY",   NEW YORK,  212 949 4319,   10165,   NY,"  STREET 1:  ONE GRAND CENTRAL PLACE, SUITE 4600",,,,
